s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.27,0.28,0.27,0.28,10232
ok,2024-01-02 05:00:00,0.27,0.28,0.27,0.28,1000
ok,2024-01-02 05:30:00,0.28,0.28,0.28,0.28,619
ok,2024-01-02 06:00:00,0.28,0.28,0.28,0.28,1125
ok,2024-01-02 06:30:00,0.28,0.28,0.27,0.27,1637
ok,2024-01-02 07:00:00,0.27,0.28,0.27,0.28,8735
ok,2024-01-02 08:00:00,0.28,0.29,0.27,0.28,48855
ok,2024-01-02 08:30:00,0.28,0.28,0.28,0.28,33570
ok,2024-01-02 09:00:00,0.28,0.29,0.28,0.28,16769
ok,2024-01-02 09:30:00,0.28,0.29,0.26,0.27,191510
ok,2024-01-02 10:00:00,0.27,0.27,0.27,0.27,61693
ok,2024-01-02 10:30:00,0.27,0.27,0.26,0.26,109394
ok,2024-01-02 11:00:00,0.26,0.26,0.25,0.26,45570
ok,2024-01-02 11:30:00,0.26,0.27,0.26,0.27,91329
ok,2024-01-02 12:00:00,0.27,0.27,0.27,0.27,35946
ok,2024-01-02 12:30:00,0.27,0.27,0.26,0.26,32949
ok,2024-01-02 13:00:00,0.26,0.26,0.26,0.26,64591
ok,2024-01-02 13:30:00,0.26,0.27,0.26,0.26,64568
ok,2024-01-02 14:00:00,0.26,0.26,0.26,0.26,86244
ok,2024-01-02 14:30:00,0.26,0.26,0.26,0.26,117987
ok,2024-01-02 15:00:00,0.26,0.26,0.26,0.26,47080
ok,2024-01-02 15:30:00,0.26,0.26,0.26,0.26,254602
ok,2024-01-02 16:00:00,0.26,0.26,0.26,0.26,1055
ok,2024-01-02 16:30:00,0.26,0.26,0.26,0.26,1107
ok,2024-01-02 17:00:00,0.26,0.27,0.26,0.27,4098
ok,2024-01-02 17:30:00,0.27,0.27,0.26,0.26,7070
ok,2024-01-02 18:00:00,0.26,0.27,0.26,0.26,1706
ok,2024-01-02 18:30:00,0.26,0.26,0.26,0.26,3600
ok,2024-01-02 19:00:00,0.26,0.28,0.26,0.28,3701
ok,2024-01-02 19:30:00,0.28,0.28,0.26,0.27,8498
ok,2024-01-03 09:00:00,19.02,19.12,18.02,18.02,2273
ok,2024-01-03 09:30:00,17.4,18.98,16.55,17.47,11291
ok,2024-01-03 10:00:00,17.34,17.38,17.29,17.35,657
ok,2024-01-03 10:30:00,17.4,17.83,17.07,17.07,6514
ok,2024-01-03 11:00:00,16.76,17.45,16.71,17.43,2509
ok,2024-01-03 11:30:00,17.1,17.1,16.78,16.79,1218
ok,2024-01-03 12:00:00,16.77,16.9,16.7,16.9,1104
ok,2024-01-03 12:30:00,16.76,16.76,16.76,16.76,165
ok,2024-01-03 13:00:00,16.7,16.7,16.5,16.5,1226
ok,2024-01-03 13:30:00,16.45,16.45,16.4,16.4,1013
ok,2024-01-03 14:00:00,16.2,16.2,16.2,16.2,232
ok,2024-01-03 14:30:00,16.2,16.39,16.2,16.31,1833
ok,2024-01-03 15:00:00,16.22,16.22,16.05,16.05,1813
ok,2024-01-03 15:30:00,16.05,16.17,15.71,15.88,3725
ok,2024-01-04 09:30:00,15.72,15.72,14.9,14.9,6782
ok,2024-01-04 10:00:00,15.02,15.14,14.62,15.14,3609
ok,2024-01-04 10:30:00,15.1,15.1,14.78,14.8,1199
ok,2024-01-04 11:00:00,14.77,14.77,14.77,14.77,142
ok,2024-01-04 11:30:00,14.88,14.99,14.8,14.8,2066
ok,2024-01-04 12:00:00,14.86,14.89,14.81,14.89,434
ok,2024-01-04 12:30:00,15.0,15.0,14.81,14.81,945
ok,2024-01-04 13:00:00,14.81,14.81,14.5,14.5,3751
ok,2024-01-04 13:30:00,14.6,14.65,14.14,14.33,6387
ok,2024-01-04 14:00:00,14.33,14.47,14.33,14.47,618
ok,2024-01-04 14:30:00,14.27,14.27,14.19,14.24,1243
ok,2024-01-04 15:00:00,14.18,14.18,14.13,14.14,3476
ok,2024-01-04 15:30:00,14.08,14.23,13.5,13.99,6332
ok,2024-01-04 19:30:00,13.9,13.9,13.9,13.9,116
ok,2024-01-05 09:30:00,13.73,13.77,13.52,13.52,1281
ok,2024-01-05 10:00:00,13.61,13.61,13.45,13.51,1974
ok,2024-01-05 10:30:00,13.25,13.25,13.02,13.02,1011
ok,2024-01-05 11:00:00,13.08,13.08,13.0,13.03,1671
ok,2024-01-05 11:30:00,12.96,13.16,12.96,13.16,1833
ok,2024-01-05 12:00:00,13.12,13.29,13.12,13.29,1136
ok,2024-01-05 12:30:00,13.27,13.27,13.27,13.27,211
ok,2024-01-05 13:00:00,13.2,13.3,13.2,13.2,1118
ok,2024-01-05 14:00:00,13.43,13.43,13.43,13.43,217
ok,2024-01-05 14:30:00,13.28,13.28,13.24,13.24,329
ok,2024-01-05 15:00:00,13.29,13.29,13.29,13.29,304
ok,2024-01-05 15:30:00,13.46,13.47,13.46,13.47,450
ok,2024-01-08 07:30:00,13.02,13.02,12.99,12.99,379
ok,2024-01-08 09:30:00,13.06,13.53,13.05,13.53,2263
ok,2024-01-08 10:00:00,13.47,13.47,13.23,13.36,1390
ok,2024-01-08 10:30:00,13.63,13.78,13.63,13.78,369
ok,2024-01-08 11:00:00,13.65,14.24,13.65,13.91,4330
ok,2024-01-08 11:30:00,14.02,14.29,14.02,14.29,859
ok,2024-01-08 12:00:00,14.28,14.46,14.05,14.05,1931
ok,2024-01-08 12:30:00,14.07,14.35,14.03,14.03,2099
ok,2024-01-08 13:00:00,13.82,14.01,13.82,14.01,841
ok,2024-01-08 13:30:00,14.01,14.01,13.86,13.86,954
ok,2024-01-08 14:30:00,13.92,13.92,13.89,13.9,472
ok,2024-01-08 15:30:00,13.77,14.01,13.77,13.78,584
ok,2024-01-09 07:30:00,13.78,13.78,13.78,13.78,142
ok,2024-01-09 09:30:00,13.78,13.78,13.51,13.61,1431
ok,2024-01-09 10:00:00,13.79,14.42,13.62,14.42,4327
ok,2024-01-09 10:30:00,14.44,15.48,14.44,15.36,12670
ok,2024-01-09 11:00:00,15.18,15.27,14.9,15.01,5686
ok,2024-01-09 11:30:00,15.0,15.35,15.0,15.01,4944
ok,2024-01-09 12:00:00,15.01,15.32,15.01,15.32,1894
ok,2024-01-09 12:30:00,15.31,15.31,15.18,15.18,542
ok,2024-01-09 13:00:00,15.22,15.36,15.08,15.36,2503
ok,2024-01-09 13:30:00,15.48,15.9,15.43,15.89,5253
ok,2024-01-09 14:00:00,15.9,15.9,15.12,15.48,2839
ok,2024-01-09 14:30:00,15.61,15.7,15.45,15.7,1076
ok,2024-01-09 15:00:00,15.55,15.55,15.55,15.55,227
ok,2024-01-09 15:30:00,15.56,15.91,15.24,15.42,4371
ok,2024-01-09 16:30:00,15.05,15.05,15.05,15.05,200
ok,2024-01-09 17:00:00,14.53,14.53,14.53,14.53,131
ok,2024-01-09 18:30:00,13.31,13.31,13.31,13.31,223
ok,2024-01-09 19:00:00,15.4,15.4,15.4,15.4,200
ok,2024-01-10 08:00:00,13.8,13.8,13.1,13.1,500
ok,2024-01-10 09:30:00,14.48,14.48,14.0,14.0,919
ok,2024-01-10 10:00:00,13.8,13.8,13.8,13.8,132
ok,2024-01-10 10:30:00,13.76,14.2,13.76,13.96,2617
ok,2024-01-10 11:00:00,14.48,14.48,14.48,14.48,300
ok,2024-01-10 12:00:00,14.83,14.83,14.83,14.83,100
ok,2024-01-10 12:30:00,14.84,14.84,14.84,14.84,296
ok,2024-01-10 13:00:00,15.1,15.1,14.57,14.6,963
ok,2024-01-10 13:30:00,14.72,14.72,14.55,14.55,253
ok,2024-01-10 15:00:00,14.66,14.66,14.61,14.61,694
ok,2024-01-10 15:30:00,14.49,14.58,14.49,14.58,433
ok,2024-01-11 09:00:00,15.3,15.3,15.3,15.3,522
ok,2024-01-11 09:30:00,15.0,15.0,14.82,14.82,676
ok,2024-01-11 10:00:00,15.35,15.35,15.35,15.35,107
ok,2024-01-11 10:30:00,14.9,14.9,14.9,14.9,300
ok,2024-01-11 11:00:00,14.96,14.96,14.96,14.96,141
