s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.09,0.09,0.09,0.09,3500
ok,2024-01-02 07:30:00,0.09,0.09,0.09,0.09,2138
ok,2024-01-02 08:00:00,0.1,0.1,0.1,0.1,140
ok,2024-01-02 08:30:00,0.09,0.09,0.09,0.09,2310
ok,2024-01-02 09:00:00,0.09,0.09,0.09,0.09,2650
ok,2024-01-02 09:30:00,0.1,0.1,0.09,0.09,99220
ok,2024-01-02 10:00:00,0.09,0.09,0.09,0.09,14650
ok,2024-01-02 10:30:00,0.09,0.1,0.09,0.09,1664
ok,2024-01-02 11:00:00,0.1,0.1,0.1,0.1,134
ok,2024-01-02 11:30:00,0.09,0.09,0.09,0.09,1000
ok,2024-01-02 12:00:00,0.09,0.09,0.09,0.09,207
ok,2024-01-02 12:30:00,0.09,0.09,0.09,0.09,100329
ok,2024-01-02 13:00:00,0.09,0.09,0.09,0.09,100
ok,2024-01-02 13:30:00,0.09,0.09,0.09,0.09,1500
ok,2024-01-02 14:00:00,0.09,0.09,0.09,0.09,5000
ok,2024-01-02 14:30:00,0.09,0.09,0.09,0.09,1109
ok,2024-01-02 15:00:00,0.09,0.09,0.09,0.09,323
ok,2024-01-02 15:30:00,0.09,0.1,0.09,0.09,20269
ok,2024-01-02 16:00:00,0.1,0.1,0.1,0.1,700
ok,2024-01-02 16:30:00,0.1,0.1,0.09,0.09,240
ok,2024-01-02 17:00:00,0.1,0.1,0.1,0.1,287
ok,2024-01-02 17:30:00,0.09,0.1,0.09,0.1,2190
ok,2024-01-02 19:00:00,0.1,0.1,0.1,0.1,225
ok,2024-01-02 19:30:00,0.1,0.1,0.1,0.1,200
ok,2024-01-03 04:00:00,0.09,0.09,0.09,0.09,1394
ok,2024-01-03 05:00:00,0.09,0.09,0.09,0.09,503
ok,2024-01-03 07:00:00,0.09,0.09,0.09,0.09,100
ok,2024-01-03 08:00:00,0.1,0.1,0.1,0.1,2329
ok,2024-01-03 08:30:00,0.09,0.1,0.09,0.1,1099
ok,2024-01-03 09:00:00,0.1,0.1,0.09,0.09,12566
ok,2024-01-03 09:30:00,0.09,0.09,0.09,0.09,20223
ok,2024-01-03 10:00:00,0.09,0.09,0.09,0.09,25640
ok,2024-01-03 10:30:00,0.09,0.09,0.09,0.09,6210
ok,2024-01-03 11:00:00,0.1,0.1,0.09,0.1,13437
ok,2024-01-03 11:30:00,0.1,0.1,0.09,0.09,863
ok,2024-01-03 12:00:00,0.1,0.1,0.09,0.1,13482
ok,2024-01-03 12:30:00,0.1,0.1,0.09,0.09,227608
ok,2024-01-03 14:00:00,0.1,0.1,0.1,0.1,5899
ok,2024-01-03 14:30:00,0.09,0.1,0.09,0.1,15452
ok,2024-01-03 15:00:00,0.1,0.1,0.09,0.09,134962
ok,2024-01-03 15:30:00,0.09,0.1,0.09,0.1,11400
ok,2024-01-03 17:00:00,0.09,0.09,0.09,0.09,1206
ok,2024-01-03 18:00:00,0.1,0.1,0.1,0.1,750
ok,2024-01-03 18:30:00,0.1,0.1,0.1,0.1,10000
ok,2024-01-04 06:00:00,0.1,0.1,0.1,0.1,390
ok,2024-01-04 08:00:00,0.09,0.1,0.09,0.1,3311
ok,2024-01-04 08:30:00,0.1,0.1,0.1,0.1,403
ok,2024-01-04 09:00:00,0.09,0.1,0.09,0.1,2425
ok,2024-01-04 09:30:00,0.09,0.1,0.09,0.09,10030
ok,2024-01-04 10:00:00,0.1,0.1,0.09,0.1,8742
ok,2024-01-04 10:30:00,0.09,0.1,0.09,0.1,30237
ok,2024-01-04 11:00:00,0.1,0.1,0.1,0.1,127724
ok,2024-01-04 11:30:00,0.1,0.1,0.1,0.1,136400
ok,2024-01-04 12:00:00,0.1,0.1,0.1,0.1,2200
ok,2024-01-04 13:00:00,0.1,0.1,0.1,0.1,41400
ok,2024-01-04 13:30:00,0.1,0.1,0.1,0.1,5000
ok,2024-01-04 14:00:00,0.1,0.1,0.1,0.1,2252
ok,2024-01-04 14:30:00,0.1,0.1,0.1,0.1,148845
ok,2024-01-04 15:00:00,0.1,0.1,0.1,0.1,18978
ok,2024-01-04 15:30:00,0.1,0.1,0.1,0.1,66122
ok,2024-01-04 16:00:00,0.1,0.1,0.1,0.1,100
ok,2024-01-04 18:30:00,0.1,0.1,0.1,0.1,100
ok,2024-01-05 04:30:00,0.1,0.1,0.1,0.1,269
ok,2024-01-05 07:00:00,0.1,0.1,0.1,0.1,8014
ok,2024-01-05 08:00:00,0.1,0.1,0.1,0.1,570
ok,2024-01-05 09:00:00,0.1,0.1,0.1,0.1,1000
ok,2024-01-05 09:30:00,0.1,0.1,0.1,0.1,23010
ok,2024-01-05 10:00:00,0.1,0.1,0.1,0.1,251
ok,2024-01-05 10:30:00,0.1,0.1,0.1,0.1,1470
ok,2024-01-05 11:00:00,0.1,0.1,0.1,0.1,12478
ok,2024-01-05 11:30:00,0.1,0.1,0.09,0.1,148071
ok,2024-01-05 12:00:00,0.1,0.1,0.09,0.1,7100
ok,2024-01-05 12:30:00,0.1,0.1,0.1,0.1,1000
ok,2024-01-05 13:00:00,0.1,0.1,0.1,0.1,1346
ok,2024-01-05 13:30:00,0.1,0.1,0.1,0.1,1441
ok,2024-01-05 15:30:00,0.09,0.1,0.09,0.1,173443
ok,2024-01-08 05:00:00,0.09,0.09,0.09,0.09,500
