s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.5,0.5,0.49,0.49,2516
ok,2024-01-02 04:30:00,0.49,0.5,0.49,0.5,6711
ok,2024-01-02 05:00:00,0.5,0.5,0.5,0.5,200
ok,2024-01-02 05:30:00,0.5,0.51,0.5,0.51,1669
ok,2024-01-02 06:00:00,0.5,0.51,0.5,0.5,1710
ok,2024-01-02 06:30:00,0.5,0.51,0.5,0.51,6623
ok,2024-01-02 07:00:00,0.5,0.5,0.49,0.49,13668
ok,2024-01-02 07:30:00,0.49,0.5,0.49,0.49,8767
ok,2024-01-02 08:00:00,0.51,0.51,0.49,0.5,30752
ok,2024-01-02 08:30:00,0.5,0.5,0.49,0.5,13502
ok,2024-01-02 09:00:00,0.5,0.51,0.49,0.5,5699
ok,2024-01-02 09:30:00,0.5,0.5,0.5,0.5,77925
ok,2024-01-02 10:00:00,0.5,0.5,0.5,0.5,56333
ok,2024-01-02 10:30:00,0.5,0.5,0.5,0.5,89125
ok,2024-01-02 11:00:00,0.5,0.5,0.5,0.5,14243
ok,2024-01-02 11:30:00,0.5,0.5,0.5,0.5,23555
ok,2024-01-02 12:00:00,0.5,0.5,0.5,0.5,16947
ok,2024-01-02 12:30:00,0.5,0.5,0.5,0.5,11271
ok,2024-01-02 13:00:00,0.5,0.5,0.5,0.5,17051
ok,2024-01-02 13:30:00,0.5,0.5,0.5,0.5,3262
ok,2024-01-02 14:00:00,0.5,0.51,0.5,0.5,13343
ok,2024-01-02 14:30:00,0.51,0.51,0.5,0.5,9517
ok,2024-01-02 15:00:00,0.5,0.5,0.5,0.5,16826
ok,2024-01-02 15:30:00,0.5,0.5,0.49,0.5,68938
ok,2024-01-02 16:00:00,0.5,0.5,0.5,0.5,1200
ok,2024-01-02 16:30:00,0.5,0.5,0.5,0.5,240
ok,2024-01-02 17:00:00,0.5,0.5,0.5,0.5,1150
ok,2024-01-02 17:30:00,0.5,0.5,0.5,0.5,6928
ok,2024-01-02 18:00:00,0.5,0.51,0.5,0.51,1703
ok,2024-01-02 18:30:00,0.51,0.51,0.51,0.51,2397
ok,2024-01-02 19:00:00,0.51,0.51,0.51,0.51,1495
ok,2024-01-02 19:30:00,0.5,0.51,0.5,0.5,8700
ok,2024-01-03 04:00:00,0.51,0.52,0.5,0.51,10235
ok,2024-01-03 05:00:00,0.51,0.51,0.51,0.51,500
ok,2024-01-03 05:30:00,0.51,0.51,0.51,0.51,2149
ok,2024-01-03 06:00:00,0.51,0.51,0.51,0.51,238
ok,2024-01-03 06:30:00,0.51,0.51,0.51,0.51,7766
ok,2024-01-03 07:00:00,0.5,0.5,0.5,0.5,4402
ok,2024-01-03 07:30:00,0.5,0.51,0.5,0.5,4640
ok,2024-01-03 08:00:00,0.5,0.51,0.49,0.51,8241
ok,2024-01-03 08:30:00,0.51,0.51,0.5,0.51,11120
ok,2024-01-03 09:00:00,0.51,0.51,0.5,0.5,7292
ok,2024-01-03 09:30:00,0.5,0.53,0.5,0.51,190183
ok,2024-01-03 10:00:00,0.51,0.53,0.51,0.53,134791
ok,2024-01-03 10:30:00,0.53,0.56,0.53,0.55,301077
ok,2024-01-03 11:00:00,0.55,0.56,0.55,0.55,250570
