s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.69,0.69,0.69,0.69,433
ok,2024-01-02 07:00:00,0.68,0.68,0.6,0.61,8265
ok,2024-01-02 07:30:00,0.61,0.65,0.6,0.61,11353
ok,2024-01-02 08:00:00,0.61,0.64,0.6,0.63,8716
ok,2024-01-02 08:30:00,0.63,0.63,0.62,0.62,2101
ok,2024-01-02 09:00:00,0.65,0.65,0.65,0.65,100
ok,2024-01-02 09:30:00,0.64,0.72,0.64,0.72,13429
ok,2024-01-02 10:00:00,0.71,0.71,0.66,0.68,6069
ok,2024-01-02 10:30:00,0.66,0.7,0.65,0.68,15849
ok,2024-01-02 11:00:00,0.69,0.69,0.65,0.69,6167
ok,2024-01-02 11:30:00,0.65,0.69,0.65,0.69,4149
ok,2024-01-02 12:00:00,0.66,0.66,0.66,0.66,820
ok,2024-01-02 12:30:00,0.66,0.66,0.65,0.66,2255
ok,2024-01-02 13:00:00,0.65,0.69,0.65,0.69,4193
ok,2024-01-02 14:00:00,0.67,0.69,0.67,0.67,1287
ok,2024-01-02 14:30:00,0.65,0.69,0.65,0.69,17316
ok,2024-01-02 15:00:00,0.67,0.69,0.65,0.68,3962
ok,2024-01-02 15:30:00,0.68,0.68,0.65,0.65,5101
ok,2024-01-02 16:00:00,0.64,0.64,0.64,0.64,1170
ok,2024-01-02 17:00:00,0.67,0.67,0.67,0.67,100
ok,2024-01-02 17:30:00,0.67,0.67,0.64,0.64,561
ok,2024-01-03 07:30:00,0.65,0.65,0.65,0.65,659
ok,2024-01-03 09:30:00,0.7,0.7,0.67,0.67,2247
ok,2024-01-03 10:00:00,0.65,0.7,0.63,0.7,1448
ok,2024-01-03 10:30:00,0.63,0.69,0.63,0.64,3117
ok,2024-01-03 11:30:00,0.68,0.69,0.63,0.63,7567
ok,2024-01-03 12:00:00,0.66,0.66,0.66,0.66,100
ok,2024-01-03 12:30:00,0.67,0.67,0.67,0.67,2113
ok,2024-01-03 13:00:00,0.64,0.67,0.63,0.67,1739
ok,2024-01-03 13:30:00,0.67,0.67,0.65,0.65,2482
ok,2024-01-03 14:00:00,0.66,0.67,0.66,0.67,11036
ok,2024-01-03 14:30:00,0.66,0.69,0.66,0.68,18699
ok,2024-01-03 15:00:00,0.68,0.69,0.68,0.68,4373
ok,2024-01-03 15:30:00,0.68,0.68,0.64,0.68,10824
ok,2024-01-03 16:00:00,0.68,0.68,0.68,0.68,1000
ok,2024-01-04 09:30:00,0.66,0.68,0.6,0.62,41761
ok,2024-01-04 10:00:00,0.62,0.66,0.61,0.63,83873
ok,2024-01-04 10:30:00,0.66,0.67,0.66,0.67,346
ok,2024-01-04 11:00:00,0.65,0.66,0.65,0.66,4631
ok,2024-01-04 11:30:00,0.66,0.66,0.66,0.66,1548
ok,2024-01-04 12:00:00,0.65,0.66,0.63,0.63,2104
ok,2024-01-04 12:30:00,0.66,0.66,0.65,0.65,646
ok,2024-01-04 13:00:00,0.63,0.65,0.63,0.65,246
ok,2024-01-04 14:00:00,0.65,0.65,0.63,0.63,944
ok,2024-01-04 14:30:00,0.65,0.65,0.64,0.65,546
ok,2024-01-04 15:00:00,0.63,0.63,0.63,0.63,3100
ok,2024-01-04 15:30:00,0.65,0.65,0.63,0.63,4705
ok,2024-01-04 17:00:00,0.65,0.65,0.65,0.65,220
ok,2024-01-05 05:00:00,0.64,0.64,0.64,0.64,300
ok,2024-01-05 08:00:00,0.64,0.64,0.64,0.64,158
ok,2024-01-05 09:30:00,0.66,0.66,0.62,0.62,4670
ok,2024-01-05 10:00:00,0.65,0.65,0.64,0.64,600
ok,2024-01-05 10:30:00,0.62,0.65,0.62,0.65,1146
ok,2024-01-05 13:00:00,0.64,0.64,0.63,0.64,900
ok,2024-01-05 13:30:00,0.64,0.64,0.62,0.62,200
ok,2024-01-05 14:00:00,0.64,0.64,0.63,0.64,6229
ok,2024-01-05 14:30:00,0.64,0.65,0.63,0.65,1750
ok,2024-01-05 15:30:00,0.63,0.63,0.63,0.63,100
ok,2024-01-08 06:00:00,0.63,0.65,0.63,0.65,4672
ok,2024-01-08 07:30:00,0.65,0.67,0.65,0.66,11792
ok,2024-01-08 08:30:00,0.7,0.81,0.61,0.62,201440
ok,2024-01-08 09:00:00,0.66,0.7,0.62,0.7,43212
ok,2024-01-08 09:30:00,0.63,0.67,0.62,0.63,66942
ok,2024-01-08 10:00:00,0.64,0.64,0.63,0.63,2052
ok,2024-01-08 10:30:00,0.63,0.64,0.62,0.62,28167
ok,2024-01-08 11:00:00,0.63,0.63,0.62,0.62,9500
ok,2024-01-08 11:30:00,0.61,0.61,0.54,0.6,138511
ok,2024-01-08 12:00:00,0.56,0.56,0.56,0.56,500
ok,2024-01-08 12:30:00,0.58,0.58,0.55,0.57,11447
ok,2024-01-08 13:00:00,0.58,0.58,0.55,0.57,3246
ok,2024-01-08 13:30:00,0.57,0.58,0.55,0.57,11438
ok,2024-01-08 14:00:00,0.57,0.57,0.57,0.57,2260
ok,2024-01-08 14:30:00,0.57,0.57,0.57,0.57,3304
ok,2024-01-08 15:00:00,0.57,0.57,0.57,0.57,3038
ok,2024-01-08 15:30:00,0.57,0.6,0.57,0.6,71972
ok,2024-01-08 16:00:00,0.58,0.58,0.58,0.58,300
ok,2024-01-08 16:30:00,0.59,0.6,0.59,0.6,402
ok,2024-01-08 17:30:00,0.6,0.6,0.6,0.6,5570
ok,2024-01-09 04:00:00,0.59,0.59,0.59,0.59,100
ok,2024-01-09 05:00:00,0.6,0.6,0.59,0.6,2000
ok,2024-01-09 06:00:00,0.6,0.6,0.6,0.6,100
ok,2024-01-09 06:30:00,0.59,0.6,0.59,0.6,4000
