s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.54,1.54,1.52,1.52,721
ok,2024-01-02 04:30:00,1.78,1.79,1.78,1.79,700
ok,2024-01-02 08:30:00,1.76,1.76,1.76,1.76,270
ok,2024-01-02 09:30:00,1.77,1.85,1.72,1.75,6167
ok,2024-01-02 10:00:00,1.76,1.76,1.76,1.76,1349
ok,2024-01-02 10:30:00,1.76,1.78,1.76,1.78,231
ok,2024-01-02 11:30:00,1.78,1.8,1.77,1.79,2813
ok,2024-01-02 12:30:00,1.8,1.8,1.76,1.76,1427
ok,2024-01-02 13:00:00,1.78,1.81,1.78,1.8,2918
ok,2024-01-02 13:30:00,1.78,1.83,1.78,1.81,1080
ok,2024-01-02 14:00:00,1.78,1.78,1.78,1.78,250
ok,2024-01-02 15:30:00,1.79,1.81,1.79,1.81,1447
ok,2024-01-02 17:30:00,1.82,1.82,1.82,1.82,200
ok,2024-01-02 19:30:00,1.84,1.84,1.84,1.84,200
ok,2024-01-03 08:00:00,1.81,1.81,1.81,1.81,100
ok,2024-01-03 09:30:00,1.81,1.83,1.77,1.77,3629
ok,2024-01-03 10:00:00,1.8,1.81,1.79,1.81,2799
ok,2024-01-03 10:30:00,1.82,1.82,1.8,1.8,1301
ok,2024-01-03 11:00:00,1.79,1.79,1.79,1.79,966
ok,2024-01-03 11:30:00,1.8,1.8,1.8,1.8,303
ok,2024-01-03 12:00:00,1.74,1.77,1.74,1.76,2071
ok,2024-01-03 13:00:00,1.8,1.8,1.8,1.8,2857
ok,2024-01-03 13:30:00,1.76,1.76,1.76,1.76,100
ok,2024-01-03 14:00:00,1.79,1.8,1.78,1.8,1110
ok,2024-01-03 14:30:00,1.8,1.8,1.79,1.8,723
ok,2024-01-03 15:00:00,1.8,1.8,1.8,1.8,200
ok,2024-01-03 15:30:00,1.8,1.83,1.77,1.81,3279
ok,2024-01-04 08:30:00,1.81,1.81,1.77,1.77,400
ok,2024-01-04 09:30:00,1.77,1.85,1.77,1.8,2601
ok,2024-01-04 10:00:00,1.84,1.84,1.83,1.83,13151
ok,2024-01-04 10:30:00,1.79,1.79,1.79,1.79,175
ok,2024-01-04 11:00:00,1.8,1.8,1.79,1.79,1010
ok,2024-01-04 11:30:00,1.8,1.8,1.79,1.79,1737
ok,2024-01-04 12:00:00,1.8,1.8,1.78,1.79,4666
ok,2024-01-04 12:30:00,1.79,1.79,1.78,1.79,1973
ok,2024-01-04 13:00:00,1.81,1.81,1.81,1.81,510
ok,2024-01-04 13:30:00,1.81,1.81,1.79,1.79,2455
ok,2024-01-04 15:00:00,1.79,1.79,1.77,1.77,1951
