s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.56,1.68,1.56,1.61,4097
ok,2024-01-02 10:00:00,1.72,1.72,1.72,1.72,730
ok,2024-01-02 10:30:00,1.67,1.67,1.67,1.67,800
ok,2024-01-02 11:00:00,1.67,1.68,1.67,1.68,1358
ok,2024-01-02 11:30:00,1.63,1.63,1.63,1.63,205
ok,2024-01-02 12:30:00,1.65,1.65,1.65,1.65,100
ok,2024-01-02 13:00:00,1.65,1.65,1.65,1.65,1107
ok,2024-01-02 14:00:00,1.68,1.68,1.68,1.68,121
ok,2024-01-02 14:30:00,1.64,1.65,1.64,1.65,1444
ok,2024-01-02 15:30:00,1.65,1.65,1.58,1.58,6040
ok,2024-01-02 18:30:00,1.54,1.54,1.54,1.54,100
ok,2024-01-03 09:00:00,1.55,1.55,1.55,1.55,104
ok,2024-01-03 09:30:00,1.55,1.59,1.51,1.52,1311
ok,2024-01-03 10:00:00,1.52,1.52,1.52,1.52,1464
ok,2024-01-03 11:00:00,1.52,1.52,1.5,1.5,728
ok,2024-01-03 11:30:00,1.51,1.51,1.51,1.51,500
ok,2024-01-03 12:00:00,1.51,1.51,1.5,1.51,2918
ok,2024-01-03 12:30:00,1.5,1.57,1.5,1.57,6351
ok,2024-01-03 13:30:00,1.57,1.59,1.56,1.59,9025
ok,2024-01-03 14:00:00,1.62,1.62,1.62,1.62,159
ok,2024-01-03 15:00:00,1.56,1.56,1.53,1.53,1467
ok,2024-01-03 15:30:00,1.49,1.58,1.48,1.57,4149
ok,2024-01-03 18:00:00,1.65,1.65,1.65,1.65,272
ok,2024-01-04 09:30:00,1.44,1.59,1.44,1.53,11911
ok,2024-01-04 10:00:00,1.53,1.53,1.53,1.53,800
ok,2024-01-04 10:30:00,1.51,1.59,1.51,1.51,1211
ok,2024-01-04 11:30:00,1.57,1.57,1.56,1.56,400
ok,2024-01-04 12:00:00,1.54,1.55,1.51,1.52,6091
ok,2024-01-04 13:00:00,1.51,1.51,1.5,1.5,938
ok,2024-01-04 14:00:00,1.5,1.5,1.5,1.5,100
ok,2024-01-04 15:00:00,1.49,1.49,1.49,1.49,100
ok,2024-01-04 15:30:00,1.49,1.54,1.46,1.54,1114
ok,2024-01-04 17:00:00,1.46,1.46,1.46,1.46,100
ok,2024-01-05 09:30:00,1.47,1.65,1.47,1.65,5144
ok,2024-01-05 10:00:00,1.55,1.55,1.55,1.55,525
ok,2024-01-05 10:30:00,1.62,1.63,1.55,1.55,847
ok,2024-01-05 11:00:00,1.55,1.64,1.55,1.64,200
ok,2024-01-05 11:30:00,1.62,1.62,1.6,1.6,337
ok,2024-01-05 12:30:00,1.61,1.61,1.61,1.61,300
ok,2024-01-05 13:30:00,1.56,1.56,1.56,1.56,125
ok,2024-01-05 14:00:00,1.59,1.59,1.59,1.59,388
ok,2024-01-05 15:00:00,1.58,1.58,1.58,1.58,318
ok,2024-01-05 15:30:00,1.6,1.6,1.6,1.6,940
ok,2024-01-08 09:00:00,1.51,1.51,1.51,1.51,538
ok,2024-01-08 09:30:00,1.59,1.59,1.5,1.5,7250
ok,2024-01-08 10:00:00,1.5,1.5,1.5,1.5,1001
ok,2024-01-08 11:00:00,1.5,1.5,1.5,1.5,1000
ok,2024-01-08 12:00:00,1.6,1.6,1.53,1.53,6893
ok,2024-01-08 13:30:00,1.56,1.56,1.56,1.56,220
ok,2024-01-08 15:30:00,1.56,1.56,1.52,1.52,1784
ok,2024-01-08 19:00:00,1.5,1.5,1.5,1.5,200
ok,2024-01-09 09:30:00,1.52,1.58,1.52,1.58,3005
ok,2024-01-09 13:00:00,1.49,1.49,1.48,1.48,515
ok,2024-01-09 15:30:00,1.55,1.55,1.54,1.55,476
ok,2024-01-09 17:00:00,1.5,1.5,1.5,1.5,282
ok,2024-01-09 17:30:00,1.55,1.55,1.55,1.55,100
ok,2024-01-10 09:00:00,1.55,1.55,1.55,1.55,993
ok,2024-01-10 10:00:00,1.56,1.58,1.56,1.57,1400
ok,2024-01-10 10:30:00,1.48,1.48,1.48,1.48,100
ok,2024-01-10 11:00:00,1.5,1.51,1.5,1.51,770
ok,2024-01-10 12:00:00,1.55,1.55,1.48,1.48,1152
ok,2024-01-10 12:30:00,1.48,1.48,1.48,1.48,133
ok,2024-01-10 13:00:00,1.48,1.48,1.48,1.48,110
ok,2024-01-10 13:30:00,1.53,1.58,1.53,1.58,479
ok,2024-01-10 15:00:00,1.56,1.56,1.56,1.56,100
ok,2024-01-10 15:30:00,1.56,1.58,1.56,1.58,986
ok,2024-01-10 18:00:00,1.48,1.48,1.48,1.48,100
ok,2024-01-11 06:30:00,1.54,1.55,1.54,1.55,218
ok,2024-01-11 07:30:00,1.48,1.48,1.48,1.48,350
ok,2024-01-11 09:00:00,1.48,1.48,1.47,1.47,275
ok,2024-01-11 09:30:00,1.47,1.58,1.47,1.52,9086
ok,2024-01-11 10:00:00,1.52,1.52,1.52,1.52,387
ok,2024-01-11 10:30:00,1.5,1.55,1.5,1.55,1113
ok,2024-01-11 11:00:00,1.53,1.61,1.53,1.61,1336
ok,2024-01-11 11:30:00,1.53,1.53,1.53,1.53,100
ok,2024-01-11 12:30:00,1.62,1.62,1.58,1.58,815
ok,2024-01-11 13:00:00,1.54,1.54,1.54,1.54,100
ok,2024-01-11 13:30:00,1.54,1.61,1.5,1.51,1750
ok,2024-01-11 14:30:00,1.61,1.62,1.51,1.61,5563
ok,2024-01-11 15:00:00,1.6,1.6,1.5,1.5,7118
ok,2024-01-11 15:30:00,1.51,1.51,1.5,1.5,899
ok,2024-01-12 09:30:00,1.58,1.58,1.58,1.58,1002
ok,2024-01-12 10:00:00,1.54,1.54,1.5,1.5,2068
