s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.31,0.32,0.31,0.32,5800
ok,2024-01-02 09:00:00,0.32,0.32,0.32,0.32,691
ok,2024-01-02 09:30:00,0.31,0.32,0.3,0.31,29587
ok,2024-01-02 10:00:00,0.32,0.32,0.31,0.31,8841
ok,2024-01-02 10:30:00,0.31,0.31,0.31,0.31,1351
ok,2024-01-02 11:00:00,0.31,0.31,0.31,0.31,10384
ok,2024-01-02 11:30:00,0.31,0.31,0.31,0.31,799
ok,2024-01-02 12:00:00,0.31,0.31,0.31,0.31,28043
ok,2024-01-02 12:30:00,0.31,0.31,0.31,0.31,6308
ok,2024-01-02 13:00:00,0.31,0.32,0.31,0.31,36471
ok,2024-01-02 13:30:00,0.32,0.32,0.31,0.31,36733
ok,2024-01-02 14:00:00,0.32,0.32,0.32,0.32,11059
ok,2024-01-02 14:30:00,0.32,0.33,0.32,0.32,25387
ok,2024-01-02 15:00:00,0.32,0.32,0.32,0.32,61291
ok,2024-01-02 15:30:00,0.32,0.32,0.32,0.32,62534
ok,2024-01-02 16:00:00,0.33,0.33,0.33,0.33,10810
ok,2024-01-02 17:00:00,0.32,0.32,0.32,0.32,900
ok,2024-01-02 17:30:00,0.32,0.32,0.32,0.32,12000
ok,2024-01-02 18:00:00,0.32,0.32,0.31,0.31,5209
ok,2024-01-02 18:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-02 19:00:00,0.33,0.33,0.33,0.33,100
ok,2024-01-02 19:30:00,0.32,0.32,0.32,0.32,1000
ok,2024-01-03 04:00:00,0.31,0.31,0.31,0.31,999
ok,2024-01-03 06:30:00,0.31,0.31,0.31,0.31,100
ok,2024-01-03 07:30:00,0.32,0.32,0.32,0.32,1373
ok,2024-01-03 08:00:00,0.32,0.38,0.31,0.33,408508
ok,2024-01-03 08:30:00,0.32,0.34,0.32,0.33,13607
ok,2024-01-03 09:00:00,0.32,0.34,0.32,0.34,17671
ok,2024-01-03 09:30:00,0.33,0.36,0.32,0.32,814254
ok,2024-01-03 10:00:00,0.32,0.32,0.31,0.32,69664
ok,2024-01-03 10:30:00,0.32,0.32,0.32,0.32,18953
ok,2024-01-03 11:00:00,0.33,0.34,0.32,0.32,58658
ok,2024-01-03 11:30:00,0.32,0.33,0.32,0.33,6471
ok,2024-01-03 12:00:00,0.33,0.34,0.32,0.32,10396
ok,2024-01-03 12:30:00,0.33,0.34,0.32,0.32,3788
ok,2024-01-03 13:00:00,0.33,0.33,0.32,0.32,52869
ok,2024-01-03 13:30:00,0.32,0.33,0.32,0.32,14213
ok,2024-01-03 14:00:00,0.32,0.33,0.29,0.3,676176
ok,2024-01-03 14:30:00,0.3,0.31,0.3,0.31,41227
ok,2024-01-03 15:00:00,0.31,0.32,0.3,0.31,20757
ok,2024-01-03 15:30:00,0.31,0.31,0.31,0.31,25012
ok,2024-01-03 16:00:00,0.3,0.3,0.3,0.3,4672
ok,2024-01-03 16:30:00,0.3,0.3,0.3,0.3,1505
ok,2024-01-03 17:00:00,0.3,0.3,0.29,0.3,17477
ok,2024-01-03 17:30:00,0.31,0.31,0.31,0.31,401
ok,2024-01-03 18:00:00,0.3,0.31,0.3,0.31,2300
ok,2024-01-03 19:30:00,0.3,0.3,0.3,0.3,1438
ok,2024-01-04 04:30:00,0.3,0.3,0.28,0.3,7600
ok,2024-01-04 05:00:00,0.3,0.3,0.3,0.3,500
ok,2024-01-04 05:30:00,0.29,0.29,0.29,0.29,1100
ok,2024-01-04 06:00:00,0.29,0.29,0.29,0.29,686
ok,2024-01-04 07:00:00,0.3,0.31,0.3,0.31,722
ok,2024-01-04 07:30:00,0.3,0.3,0.3,0.3,6704
ok,2024-01-04 08:00:00,0.3,0.3,0.3,0.3,3447
