s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,0.11,0.11,0.11,0.11,150
ok,2024-01-02 08:30:00,0.12,0.12,0.12,0.12,200
ok,2024-01-02 09:30:00,0.11,0.12,0.11,0.12,1375
ok,2024-01-02 10:00:00,0.11,0.11,0.11,0.11,104
ok,2024-01-02 12:30:00,0.11,0.12,0.11,0.12,1602
ok,2024-01-02 14:00:00,0.11,0.11,0.11,0.11,1400
ok,2024-01-02 14:30:00,0.11,0.11,0.11,0.11,1001
ok,2024-01-02 15:00:00,0.11,0.11,0.11,0.11,917
ok,2024-01-02 15:30:00,0.11,0.11,0.11,0.11,16294
ok,2024-01-02 16:00:00,0.12,0.12,0.12,0.12,700
ok,2024-01-02 16:30:00,0.12,0.12,0.12,0.12,1503
ok,2024-01-02 17:30:00,0.12,0.12,0.12,0.12,15793
ok,2024-01-02 18:00:00,0.12,0.12,0.12,0.12,8153
ok,2024-01-02 18:30:00,0.12,0.12,0.12,0.12,200
ok,2024-01-02 19:00:00,0.13,0.13,0.13,0.13,2600
ok,2024-01-02 19:30:00,0.12,0.16,0.12,0.14,11103
ok,2024-01-03 04:30:00,0.12,0.18,0.11,0.18,140761
ok,2024-01-03 05:00:00,0.18,0.27,0.16,0.22,7220365
ok,2024-01-03 05:30:00,0.22,0.3,0.2,0.28,4602617
ok,2024-01-03 06:00:00,0.28,0.32,0.26,0.29,5666877
ok,2024-01-03 06:30:00,0.3,0.3,0.24,0.26,4057755
ok,2024-01-03 07:00:00,0.26,0.26,0.22,0.23,3145388
ok,2024-01-03 07:30:00,0.23,0.25,0.22,0.25,1048324
ok,2024-01-03 08:00:00,0.25,0.26,0.23,0.23,1841876
ok,2024-01-03 08:30:00,0.23,0.24,0.22,0.23,1577205
ok,2024-01-03 09:00:00,0.23,0.23,0.21,0.23,1341854
ok,2024-01-03 09:30:00,0.24,0.24,0.17,0.18,8227391
ok,2024-01-03 10:00:00,0.18,0.2,0.16,0.18,4900499
ok,2024-01-03 10:30:00,0.18,0.2,0.17,0.19,2568439
ok,2024-01-03 11:00:00,0.19,0.19,0.18,0.19,1396680
ok,2024-01-03 11:30:00,0.19,0.23,0.19,0.2,4943322
ok,2024-01-03 12:00:00,0.2,0.21,0.18,0.19,2264634
ok,2024-01-03 12:30:00,0.19,0.19,0.18,0.18,798272
ok,2024-01-03 13:00:00,0.18,0.19,0.17,0.18,1440345
ok,2024-01-03 13:30:00,0.18,0.18,0.16,0.17,785238
ok,2024-01-03 14:00:00,0.17,0.17,0.16,0.17,376471
ok,2024-01-03 14:30:00,0.17,0.18,0.17,0.17,851518
ok,2024-01-03 15:00:00,0.17,0.19,0.17,0.19,1098209
ok,2024-01-03 15:30:00,0.18,0.2,0.16,0.17,1697252
ok,2024-01-03 16:00:00,0.17,0.18,0.16,0.17,417802
ok,2024-01-03 16:30:00,0.17,0.17,0.17,0.17,69002
ok,2024-01-03 17:00:00,0.17,0.17,0.16,0.16,121743
ok,2024-01-03 17:30:00,0.16,0.17,0.16,0.17,87895
ok,2024-01-03 18:00:00,0.17,0.17,0.16,0.17,24649
ok,2024-01-03 18:30:00,0.17,0.17,0.16,0.17,22721
ok,2024-01-03 19:00:00,0.17,0.17,0.16,0.16,27093
ok,2024-01-03 19:30:00,0.16,0.17,0.16,0.16,39935
ok,2024-01-04 04:00:00,0.17,0.17,0.16,0.16,63967
ok,2024-01-04 04:30:00,0.16,0.17,0.16,0.16,22156
