s,t,o,h,l,c,v
ok,2024-01-02 10:00:00,0.87,0.91,0.87,0.87,3500
ok,2024-01-02 11:00:00,0.88,0.93,0.87,0.9,4793
ok,2024-01-02 11:30:00,0.86,0.9,0.86,0.9,3191
ok,2024-01-02 12:00:00,0.86,0.86,0.86,0.86,301
ok,2024-01-02 12:30:00,0.86,0.86,0.86,0.86,600
ok,2024-01-02 13:00:00,0.86,0.86,0.86,0.86,600
ok,2024-01-02 13:30:00,0.86,0.86,0.86,0.86,700
ok,2024-01-02 14:00:00,0.86,0.86,0.86,0.86,700
ok,2024-01-02 14:30:00,0.86,0.86,0.86,0.86,600
ok,2024-01-02 15:00:00,0.86,0.86,0.86,0.86,300
ok,2024-01-02 15:30:00,0.86,0.86,0.85,0.85,5733
ok,2024-01-02 18:00:00,0.93,0.93,0.93,0.93,500
ok,2024-01-03 12:00:00,0.88,0.9,0.86,0.9,925
ok,2024-01-03 12:30:00,0.88,0.9,0.88,0.9,200
ok,2024-01-03 14:00:00,0.86,0.86,0.86,0.86,100
ok,2024-01-03 15:30:00,0.88,0.88,0.88,0.88,395
ok,2024-01-04 09:30:00,0.85,0.86,0.83,0.84,15508
ok,2024-01-04 10:00:00,0.84,0.85,0.84,0.85,3000
ok,2024-01-04 11:30:00,0.84,0.84,0.84,0.84,100
ok,2024-01-04 12:30:00,0.84,0.84,0.84,0.84,1713
ok,2024-01-04 13:30:00,0.84,0.85,0.84,0.85,4754
ok,2024-01-04 14:30:00,0.84,0.85,0.84,0.85,1200
ok,2024-01-04 15:30:00,0.84,0.84,0.84,0.84,140
ok,2024-01-04 19:30:00,0.85,0.85,0.85,0.85,500
ok,2024-01-05 09:30:00,0.82,0.82,0.81,0.81,7255
ok,2024-01-05 10:30:00,0.81,0.81,0.8,0.8,2400
ok,2024-01-05 11:00:00,0.8,0.8,0.8,0.8,12001
ok,2024-01-05 11:30:00,0.78,0.78,0.78,0.78,110
ok,2024-01-05 12:00:00,0.81,0.81,0.78,0.79,7240
ok,2024-01-05 12:30:00,0.8,0.8,0.77,0.77,27616
ok,2024-01-05 13:00:00,0.76,0.76,0.76,0.76,598
ok,2024-01-05 13:30:00,0.77,0.79,0.77,0.79,200
ok,2024-01-05 14:00:00,0.76,0.76,0.76,0.76,100
ok,2024-01-05 14:30:00,0.75,0.75,0.75,0.75,302
ok,2024-01-05 15:00:00,0.75,0.75,0.75,0.75,4910
ok,2024-01-05 15:30:00,0.75,0.75,0.75,0.75,2467
ok,2024-01-05 16:00:00,0.75,0.75,0.75,0.75,400
ok,2024-01-08 09:30:00,0.76,0.8,0.76,0.77,2190
ok,2024-01-08 10:30:00,0.78,0.78,0.76,0.76,1005
ok,2024-01-08 14:30:00,0.76,0.76,0.76,0.76,1500
ok,2024-01-08 15:30:00,0.73,0.73,0.73,0.73,1101
ok,2024-01-09 09:30:00,0.89,0.89,0.67,0.68,22074
ok,2024-01-09 10:00:00,0.74,0.74,0.71,0.74,788
ok,2024-01-09 13:00:00,0.7,0.7,0.68,0.68,7372
ok,2024-01-09 13:30:00,0.7,0.7,0.69,0.69,3026
ok,2024-01-09 15:00:00,0.68,0.68,0.68,0.68,100
ok,2024-01-09 15:30:00,0.71,0.74,0.71,0.74,22310
ok,2024-01-10 09:30:00,0.81,0.93,0.81,0.82,12912
ok,2024-01-10 10:00:00,0.78,0.78,0.78,0.78,500
ok,2024-01-10 11:00:00,0.77,0.77,0.75,0.75,663
ok,2024-01-10 13:30:00,0.76,0.77,0.76,0.77,1380
ok,2024-01-10 14:00:00,0.8,0.8,0.8,0.8,100
ok,2024-01-10 15:00:00,0.76,0.76,0.76,0.76,163
ok,2024-01-10 15:30:00,0.76,0.81,0.76,0.81,2664
ok,2024-01-10 18:00:00,0.84,0.84,0.84,0.84,313
ok,2024-01-10 19:30:00,0.93,0.93,0.93,0.93,305
ok,2024-01-11 09:30:00,0.76,0.86,0.76,0.86,3627
ok,2024-01-11 10:30:00,0.81,0.81,0.78,0.78,240
ok,2024-01-11 11:30:00,0.81,0.81,0.78,0.78,929
ok,2024-01-11 12:00:00,0.79,0.79,0.79,0.79,220
ok,2024-01-11 13:00:00,0.78,0.78,0.78,0.78,283
ok,2024-01-11 15:00:00,0.82,0.82,0.82,0.82,105
ok,2024-01-11 17:00:00,0.82,0.82,0.82,0.82,200
ok,2024-01-12 09:30:00,0.8,0.8,0.79,0.79,300
ok,2024-01-12 10:00:00,0.79,0.79,0.79,0.79,165
ok,2024-01-12 10:30:00,0.78,0.78,0.78,0.78,140
ok,2024-01-12 11:00:00,0.85,0.85,0.73,0.73,400
ok,2024-01-16 09:30:00,0.85,0.85,0.73,0.78,1769
ok,2024-01-16 10:00:00,0.73,0.73,0.73,0.73,400
ok,2024-01-16 12:00:00,0.75,0.75,0.75,0.75,100
ok,2024-01-16 13:00:00,0.76,0.77,0.74,0.74,2975
ok,2024-01-16 13:30:00,0.76,0.78,0.75,0.75,432
ok,2024-01-16 14:00:00,0.75,0.75,0.75,0.75,100
ok,2024-01-17 09:30:00,0.72,0.76,0.63,0.76,19544
ok,2024-01-17 10:30:00,0.72,0.73,0.72,0.73,2412
ok,2024-01-17 11:00:00,0.73,0.73,0.73,0.73,300
ok,2024-01-17 11:30:00,0.72,0.72,0.72,0.72,1400
ok,2024-01-17 12:00:00,0.72,0.72,0.72,0.72,505
ok,2024-01-17 14:00:00,0.7,0.7,0.7,0.7,200
ok,2024-01-17 14:30:00,0.72,0.72,0.72,0.72,5000
ok,2024-01-17 15:00:00,0.7,0.71,0.7,0.71,1365
