s,t,o,h,l,c,v
ok,2024-02-01 04:00:00,3.0,3.0,1.92,1.95,7556
ok,2024-02-01 04:30:00,2.3,2.3,2.17,2.2,978
ok,2024-02-01 05:00:00,2.02,2.26,2.0,2.26,2061
ok,2024-02-01 05:30:00,2.14,2.29,2.14,2.26,1118
ok,2024-02-01 06:00:00,2.16,2.24,2.16,2.21,1299
ok,2024-02-01 06:30:00,2.22,2.3,2.16,2.29,3037
ok,2024-02-01 07:00:00,2.2,2.3,2.2,2.21,2401
ok,2024-02-01 07:30:00,2.2,2.29,2.2,2.29,1232
ok,2024-02-01 08:00:00,2.12,2.3,2.02,2.3,2546
ok,2024-02-01 08:30:00,2.23,2.28,2.2,2.2,3148
ok,2024-02-01 09:00:00,2.15,2.25,2.05,2.15,7177
ok,2024-02-01 09:30:00,2.15,2.2,1.6,1.73,103757
ok,2024-02-01 10:00:00,1.7,1.7,1.6,1.69,19942
ok,2024-02-01 10:30:00,1.69,1.7,1.6,1.65,24204
ok,2024-02-01 11:00:00,1.68,1.7,1.55,1.55,14700
ok,2024-02-01 11:30:00,1.56,1.58,1.3,1.3,57819
ok,2024-02-01 12:00:00,1.3,1.38,1.28,1.33,32966
ok,2024-02-01 12:30:00,1.33,1.33,1.17,1.21,89992
ok,2024-02-01 13:00:00,1.18,1.3,1.17,1.27,22472
ok,2024-02-01 13:30:00,1.25,1.66,1.21,1.49,49442
ok,2024-02-01 14:00:00,1.5,1.99,1.42,1.6,96041
ok,2024-02-01 14:30:00,1.6,1.65,1.49,1.6,9360
ok,2024-02-01 15:00:00,1.58,1.62,1.16,1.48,60938
ok,2024-02-01 15:30:00,1.49,1.49,1.22,1.35,43845
ok,2024-02-01 16:00:00,1.35,1.9,1.35,1.7,49786
ok,2024-02-01 16:30:00,1.7,1.81,1.42,1.45,63667
ok,2024-02-01 17:00:00,1.56,1.75,1.5,1.75,24072
ok,2024-02-01 17:30:00,1.8,1.8,1.7,1.76,26746
ok,2024-02-01 18:00:00,1.77,2.07,1.76,1.91,61884
ok,2024-02-01 18:30:00,1.87,2.15,1.87,2.01,49172
ok,2024-02-01 19:00:00,2.0,2.03,1.8,1.9,33273
ok,2024-02-01 19:30:00,1.85,1.97,1.84,1.84,23503
ok,2024-02-02 04:00:00,1.67,2.12,1.63,1.81,647999
ok,2024-02-02 04:30:00,1.82,1.87,1.66,1.76,273140
ok,2024-02-02 05:00:00,1.76,1.89,1.73,1.78,133475
ok,2024-02-02 05:30:00,1.78,1.87,1.71,1.73,124532
ok,2024-02-02 06:00:00,1.73,1.83,1.73,1.82,55887
ok,2024-02-02 06:30:00,1.83,2.08,1.81,1.87,560351
ok,2024-02-02 07:00:00,1.9,1.98,1.68,1.72,451205
ok,2024-02-02 07:30:00,1.73,1.8,1.68,1.75,193428
ok,2024-02-02 08:00:00,1.91,1.98,1.68,1.76,203180
ok,2024-02-02 08:30:00,1.76,1.8,1.64,1.73,166707
ok,2024-02-02 09:00:00,1.71,1.71,1.56,1.63,224445
ok,2024-02-02 09:30:00,1.61,1.63,1.41,1.42,575193
ok,2024-02-02 10:00:00,1.42,1.55,1.41,1.54,231495
ok,2024-02-02 10:30:00,1.54,1.6,1.43,1.48,181861
ok,2024-02-02 11:00:00,1.48,1.59,1.45,1.54,57631
ok,2024-02-02 11:30:00,1.5,1.59,1.49,1.59,54089
ok,2024-02-02 12:00:00,1.57,1.79,1.56,1.64,298718
ok,2024-02-02 12:30:00,1.65,1.66,1.37,1.47,97364
