s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.15,1.23,1.15,1.17,1052
ok,2024-01-02 10:00:00,1.19,1.19,1.0,1.04,34123
ok,2024-01-02 10:30:00,1.03,1.25,1.03,1.2,29773
ok,2024-01-02 15:30:00,1.14,1.19,1.14,1.17,886
ok,2024-01-02 17:00:00,1.17,1.17,1.17,1.17,100
ok,2024-01-03 08:30:00,1.17,1.17,1.17,1.17,1518
ok,2024-01-03 09:00:00,1.17,1.17,1.17,1.17,490
ok,2024-01-03 09:30:00,1.12,1.12,1.05,1.05,7944
ok,2024-01-03 10:00:00,1.06,1.13,1.06,1.13,2500
ok,2024-01-03 11:00:00,1.08,1.13,1.07,1.07,5248
ok,2024-01-03 11:30:00,1.07,1.07,1.04,1.04,4205
ok,2024-01-03 12:00:00,1.04,1.04,1.04,1.04,1125
ok,2024-01-03 12:30:00,1.05,1.05,1.05,1.05,100
ok,2024-01-03 13:00:00,1.05,1.05,1.05,1.05,600
ok,2024-01-03 14:30:00,1.13,1.16,1.12,1.13,1100
ok,2024-01-03 15:00:00,1.12,1.12,1.11,1.11,544
ok,2024-01-03 15:30:00,1.11,1.11,1.11,1.11,550
ok,2024-01-04 09:00:00,1.06,1.06,1.02,1.02,1000
ok,2024-01-04 09:30:00,1.11,1.11,1.03,1.07,4404
ok,2024-01-04 10:00:00,1.07,1.1,1.07,1.1,6237
ok,2024-01-04 10:30:00,1.08,1.08,1.08,1.08,389
ok,2024-01-04 11:00:00,1.1,1.1,1.1,1.1,390
ok,2024-01-04 11:30:00,1.09,1.1,1.08,1.1,1475
ok,2024-01-04 12:00:00,1.08,1.09,1.04,1.06,2577
ok,2024-01-04 12:30:00,1.08,1.08,1.07,1.08,950
ok,2024-01-04 13:00:00,1.06,1.08,1.06,1.06,1925
ok,2024-01-04 15:00:00,1.06,1.06,1.06,1.06,294
ok,2024-01-04 15:30:00,1.05,1.06,1.03,1.03,3200
ok,2024-01-05 09:30:00,1.07,1.32,1.03,1.15,13795
ok,2024-01-05 10:00:00,1.14,1.14,1.14,1.14,146
ok,2024-01-05 10:30:00,1.12,1.12,1.12,1.12,210
ok,2024-01-05 11:00:00,1.1,1.1,1.09,1.1,5332
ok,2024-01-05 11:30:00,1.11,1.11,1.11,1.11,100
ok,2024-01-05 12:00:00,1.13,1.13,1.13,1.13,440
ok,2024-01-05 12:30:00,1.12,1.13,1.12,1.13,900
ok,2024-01-05 13:00:00,1.11,1.11,1.11,1.11,1605
ok,2024-01-05 13:30:00,1.11,1.12,1.07,1.1,4652
ok,2024-01-05 14:00:00,1.09,1.14,1.06,1.06,4966
ok,2024-01-05 14:30:00,1.08,1.08,1.08,1.08,402
ok,2024-01-05 15:30:00,1.1,1.13,1.1,1.1,4714
ok,2024-01-08 09:30:00,1.13,1.13,1.1,1.1,5007
ok,2024-01-08 10:00:00,1.09,1.09,1.09,1.09,311
ok,2024-01-08 10:30:00,1.07,1.07,1.06,1.06,1400
ok,2024-01-08 13:30:00,1.08,1.09,1.08,1.09,942
ok,2024-01-08 14:00:00,1.09,1.2,1.08,1.2,7289
ok,2024-01-08 14:30:00,1.19,1.19,1.17,1.17,200
ok,2024-01-08 15:00:00,1.11,1.16,1.11,1.16,200
ok,2024-01-08 15:30:00,1.14,1.15,1.14,1.15,838
ok,2024-01-09 10:00:00,1.13,1.16,1.13,1.14,1415
ok,2024-01-09 11:00:00,1.13,1.17,1.13,1.13,400
ok,2024-01-09 11:30:00,1.13,1.16,1.13,1.16,500
ok,2024-01-09 13:00:00,1.15,1.15,1.15,1.15,100
ok,2024-01-09 13:30:00,1.13,1.19,1.13,1.19,8969
ok,2024-01-10 09:30:00,1.2,1.25,1.2,1.25,535
ok,2024-01-10 10:00:00,1.23,1.23,1.23,1.23,123
ok,2024-01-10 10:30:00,1.21,1.21,1.2,1.2,2505
ok,2024-01-10 11:30:00,1.11,1.15,1.03,1.15,2603
ok,2024-01-10 13:00:00,1.14,1.15,1.14,1.15,1092
ok,2024-01-10 14:00:00,1.07,1.07,1.07,1.07,300
ok,2024-01-10 15:00:00,1.08,1.08,1.07,1.07,336
ok,2024-01-10 15:30:00,1.05,1.1,1.05,1.06,1810
ok,2024-01-11 09:30:00,1.19,1.19,1.19,1.19,106
ok,2024-01-11 10:00:00,1.15,1.15,1.06,1.08,24364
ok,2024-01-11 10:30:00,1.06,1.06,1.03,1.03,3433
ok,2024-01-11 11:00:00,1.1,1.1,1.02,1.03,2350
ok,2024-01-11 12:00:00,1.17,1.17,1.03,1.03,3530
ok,2024-01-11 12:30:00,1.05,1.1,1.04,1.04,1533
ok,2024-01-11 15:30:00,1.1,1.1,1.1,1.1,600
ok,2024-01-12 09:30:00,1.1,1.28,1.1,1.12,5909
ok,2024-01-12 11:00:00,1.08,1.09,1.04,1.04,1745
ok,2024-01-12 11:30:00,1.08,1.09,1.08,1.09,1850
ok,2024-01-12 12:00:00,1.08,1.08,1.08,1.08,500
ok,2024-01-12 13:30:00,1.06,1.06,1.06,1.06,330
ok,2024-01-12 15:00:00,1.03,1.05,1.03,1.04,400
ok,2024-01-12 15:30:00,1.03,1.03,1.01,1.03,5826
ok,2024-01-16 09:30:00,1.03,1.03,1.02,1.03,1519
ok,2024-01-16 10:30:00,1.04,1.04,1.04,1.04,201
ok,2024-01-16 11:00:00,1.05,1.05,1.05,1.05,200
ok,2024-01-16 11:30:00,1.02,1.02,1.02,1.02,2000
ok,2024-01-16 12:00:00,1.02,1.02,1.0,1.0,883
ok,2024-01-16 13:00:00,0.99,1.0,0.98,1.0,2303
