s,t,o,h,l,c,v
ok,2024-02-15 08:30:00,4.05,4.31,4.0,4.0,860
ok,2024-02-15 09:00:00,4.0,4.0,3.94,3.94,401
ok,2024-02-15 09:30:00,4.51,5.24,4.29,5.0,11536
ok,2024-02-15 10:00:00,6.15,8.03,6.15,8.03,10486
ok,2024-02-15 11:00:00,10.8,18.26,10.11,18.26,27584
ok,2024-02-15 11:30:00,19.17,21.09,11.75,11.75,35471
ok,2024-02-15 12:00:00,9.51,12.89,8.64,11.4,55259
ok,2024-02-15 12:30:00,12.0,12.0,8.2,8.5,33520
ok,2024-02-15 13:00:00,8.35,8.8,7.27,8.0,21988
ok,2024-02-15 13:30:00,7.65,8.98,7.65,8.37,16875
ok,2024-02-15 14:00:00,8.99,12.72,8.99,10.78,33775
ok,2024-02-15 14:30:00,10.21,10.88,9.5,10.37,4767
ok,2024-02-15 15:00:00,10.36,10.54,9.11,9.24,12246
ok,2024-02-15 15:30:00,9.4,11.62,9.23,10.0,8921
ok,2024-02-15 16:00:00,10.12,10.12,9.22,9.22,4313
ok,2024-02-15 16:30:00,8.8,8.8,8.73,8.73,502
ok,2024-02-15 17:00:00,8.68,8.68,8.12,8.12,1505
ok,2024-02-15 18:30:00,8.22,8.22,8.11,8.11,1600
ok,2024-02-16 04:00:00,8.2,8.2,8.2,8.2,151
ok,2024-02-16 04:30:00,7.61,7.61,7.61,7.61,221
ok,2024-02-16 05:00:00,7.6,8.0,7.24,8.0,1802
ok,2024-02-16 07:00:00,7.33,7.5,7.33,7.5,471
ok,2024-02-16 07:30:00,7.55,7.55,7.51,7.51,263
ok,2024-02-16 08:00:00,7.45,7.62,7.45,7.62,1118
ok,2024-02-16 08:30:00,7.51,7.8,7.51,7.8,646
ok,2024-02-16 09:00:00,7.55,8.97,7.55,8.47,705
ok,2024-02-16 09:30:00,8.97,8.97,6.7,7.48,9506
ok,2024-02-16 10:00:00,7.42,7.49,6.44,6.84,4636
ok,2024-02-16 10:30:00,6.92,7.0,6.48,6.75,8358
ok,2024-02-16 11:00:00,6.99,7.1,6.75,6.83,3685
ok,2024-02-16 11:30:00,6.76,6.87,6.6,6.73,3209
ok,2024-02-16 12:00:00,6.9,6.9,6.83,6.83,1198
