s,t,o,h,l,c,v
ok,2024-03-28 09:30:00,5.0,5.4,4.0,4.01,579858
ok,2024-03-28 10:00:00,4.01,4.98,4.0,4.7,297657
ok,2024-03-28 10:30:00,4.73,4.79,4.11,4.6,238559
ok,2024-03-28 11:00:00,4.7,4.74,4.4,4.45,127947
ok,2024-03-28 11:30:00,4.45,4.55,4.31,4.45,66998
ok,2024-03-28 12:00:00,4.45,4.5,4.15,4.26,61443
ok,2024-03-28 12:30:00,4.26,4.62,4.25,4.4,61721
ok,2024-03-28 13:00:00,4.41,4.5,4.35,4.42,22184
ok,2024-03-28 13:30:00,4.43,4.47,4.3,4.35,26592
ok,2024-03-28 14:00:00,4.35,4.61,4.26,4.55,141089
ok,2024-03-28 14:30:00,4.55,4.74,4.18,4.18,66560
ok,2024-03-28 15:00:00,4.3,4.69,4.3,4.43,6481
ok,2024-03-28 15:30:00,4.59,4.59,4.4,4.4,1200
ok,2024-03-28 18:30:00,4.33,4.59,4.2,4.59,3811
ok,2024-04-01 04:30:00,4.17,4.17,4.17,4.17,182
ok,2024-04-01 06:30:00,4.17,4.17,4.17,4.17,100
ok,2024-04-01 07:00:00,4.27,4.27,4.27,4.27,100
ok,2024-04-01 07:30:00,4.25,4.25,4.25,4.25,100
ok,2024-04-01 08:00:00,4.25,4.26,4.17,4.17,2125
ok,2024-04-01 08:30:00,4.06,4.94,4.06,4.58,56042
ok,2024-04-01 09:00:00,4.55,4.75,4.5,4.68,129399
ok,2024-04-01 09:30:00,4.68,4.73,4.55,4.63,73240
ok,2024-04-01 10:00:00,4.63,4.7,4.59,4.65,45100
ok,2024-04-01 10:30:00,4.65,4.73,4.52,4.66,194563
ok,2024-04-01 11:00:00,4.65,4.73,4.61,4.7,54181
ok,2024-04-01 11:30:00,4.67,4.72,4.6,4.67,42887
ok,2024-04-01 12:00:00,4.67,4.68,4.64,4.67,36372
ok,2024-04-01 12:30:00,4.67,4.89,4.67,4.75,56052
ok,2024-04-01 13:00:00,4.75,4.8,4.7,4.72,59672
ok,2024-04-01 13:30:00,4.7,4.7,4.65,4.68,16515
ok,2024-04-01 14:00:00,4.72,4.78,4.68,4.7,7711
ok,2024-04-01 14:30:00,4.7,4.72,4.51,4.56,29387
ok,2024-04-01 15:00:00,4.72,4.95,4.6,4.9,4822
ok,2024-04-01 15:30:00,4.87,5.01,4.8,5.01,97265
ok,2024-04-01 16:00:00,4.61,4.61,4.61,4.61,225
ok,2024-04-01 18:00:00,4.56,4.57,4.56,4.57,550
ok,2024-04-02 03:00:00,4.51,4.51,4.51,4.51,181
ok,2024-04-02 05:30:00,4.77,5.02,4.77,4.94,181144
ok,2024-04-02 06:00:00,4.78,4.78,4.78,4.78,100
ok,2024-04-02 06:30:00,4.78,4.9,4.7,4.7,941
ok,2024-04-02 07:00:00,4.7,4.7,4.66,4.66,1429
ok,2024-04-02 07:30:00,4.82,4.82,4.82,4.82,2150
ok,2024-04-02 08:00:00,4.67,4.67,4.62,4.62,5701
ok,2024-04-02 08:30:00,4.67,4.75,4.61,4.66,44903
ok,2024-04-02 09:00:00,4.65,4.72,4.64,4.7,33075
ok,2024-04-02 09:30:00,4.69,4.89,4.67,4.78,71065
ok,2024-04-02 10:00:00,4.8,4.99,4.61,4.75,119256
ok,2024-04-02 10:30:00,4.8,4.91,4.7,4.86,194976
ok,2024-04-02 11:00:00,4.84,4.94,4.84,4.94,12591
ok,2024-04-02 11:30:00,4.89,4.89,4.82,4.85,3058
ok,2024-04-02 12:00:00,4.82,4.9,4.82,4.9,20233
ok,2024-04-02 12:30:00,4.86,4.9,4.85,4.89,9296
ok,2024-04-02 13:00:00,4.9,4.93,4.82,4.86,9850
ok,2024-04-02 13:30:00,4.86,4.9,4.82,4.82,3800
ok,2024-04-02 14:00:00,4.9,4.94,4.83,4.94,55167
ok,2024-04-02 14:30:00,4.94,4.94,4.85,4.94,21244
ok,2024-04-02 15:00:00,5.0,5.0,5.0,5.0,500
ok,2024-04-02 15:30:00,4.98,5.04,4.85,4.86,56615
ok,2024-04-02 16:00:00,4.88,4.88,4.86,4.86,200
ok,2024-04-02 17:30:00,5.02,5.02,5.01,5.01,1003
ok,2024-04-02 18:00:00,4.86,5.05,4.86,5.05,1914
ok,2024-04-02 18:30:00,5.05,5.08,5.0,5.0,1403
ok,2024-04-03 03:00:00,4.71,5.0,4.71,5.0,538
ok,2024-04-03 04:00:00,4.77,4.77,4.77,4.77,317
ok,2024-04-03 07:00:00,5.0,5.0,5.0,5.0,100
ok,2024-04-03 07:30:00,5.0,5.0,4.99,4.99,700
ok,2024-04-03 08:00:00,4.97,5.0,4.97,5.0,11486
ok,2024-04-03 08:30:00,5.0,5.0,4.82,4.86,68623
ok,2024-04-03 09:00:00,4.86,4.92,4.85,4.89,39366
ok,2024-04-03 09:30:00,4.84,4.93,4.84,4.93,14316
ok,2024-04-03 10:00:00,4.9,4.9,4.9,4.9,300
ok,2024-04-03 10:30:00,4.9,4.98,4.9,4.98,5000
ok,2024-04-03 11:00:00,4.92,4.93,4.81,4.86,98073
ok,2024-04-03 11:30:00,4.89,4.89,4.84,4.85,6488
ok,2024-04-03 12:00:00,4.85,4.92,4.82,4.9,58428
ok,2024-04-03 12:30:00,4.89,4.92,4.82,4.9,96807
ok,2024-04-03 13:00:00,4.93,4.93,4.89,4.89,703
ok,2024-04-03 14:00:00,4.87,4.88,4.87,4.88,200
ok,2024-04-03 14:30:00,4.87,4.95,4.85,4.92,3905
ok,2024-04-03 15:00:00,4.84,5.0,4.81,4.81,57220
ok,2024-04-03 15:30:00,4.81,4.81,4.81,4.81,100
ok,2024-04-03 18:30:00,4.94,4.94,4.94,4.94,423
ok,2024-04-04 06:00:00,4.8,4.8,4.8,4.8,370
ok,2024-04-04 07:00:00,4.86,4.86,4.86,4.86,102
ok,2024-04-04 08:30:00,4.8,5.0,4.8,4.93,22430
ok,2024-04-04 09:00:00,4.96,4.99,4.85,4.88,194343
ok,2024-04-04 09:30:00,4.87,4.94,4.86,4.89,61280
ok,2024-04-04 10:00:00,4.89,4.93,4.88,4.93,14831
ok,2024-04-04 10:30:00,4.93,4.95,4.92,4.94,5406
ok,2024-04-04 11:00:00,4.94,5.04,4.94,5.0,82159
ok,2024-04-04 11:30:00,5.01,5.35,4.9,5.05,41210
ok,2024-04-04 12:00:00,5.05,5.09,5.05,5.09,13973
ok,2024-04-04 12:30:00,5.09,5.09,5.08,5.09,1324
ok,2024-04-04 13:00:00,5.08,5.08,4.92,4.95,5951
ok,2024-04-04 13:30:00,4.93,5.05,4.92,5.04,135839
ok,2024-04-04 14:00:00,4.97,4.97,4.94,4.97,2200
ok,2024-04-04 14:30:00,4.97,5.04,4.96,4.97,17773
ok,2024-04-04 15:00:00,4.98,5.0,4.98,5.0,48700
ok,2024-04-04 16:00:00,4.88,4.88,4.88,4.88,150
ok,2024-04-04 17:00:00,4.88,4.88,4.88,4.88,100
ok,2024-04-05 07:00:00,4.91,4.91,4.91,4.91,1300
ok,2024-04-05 07:30:00,4.91,4.91,4.91,4.91,200
ok,2024-04-05 08:30:00,5.05,5.05,4.9,5.04,35838
ok,2024-04-05 09:00:00,4.98,4.98,4.98,4.98,500
ok,2024-04-05 09:30:00,5.03,5.2,5.01,5.04,7120
ok,2024-04-05 10:00:00,5.01,5.04,4.95,4.95,15613
ok,2024-04-05 10:30:00,5.0,5.01,4.99,5.0,1000
ok,2024-04-05 11:00:00,4.95,5.0,4.95,5.0,3056
ok,2024-04-05 11:30:00,5.0,5.0,4.97,4.97,1200
ok,2024-04-05 12:00:00,4.99,5.01,4.97,5.0,3790
ok,2024-04-05 12:30:00,5.0,5.01,4.99,5.0,1300
ok,2024-04-05 13:00:00,4.96,5.0,4.96,4.96,2245
ok,2024-04-05 13:30:00,5.0,5.0,4.96,4.96,2554
ok,2024-04-05 14:00:00,4.99,4.99,4.98,4.99,1500
ok,2024-04-05 14:30:00,4.99,5.0,4.98,4.98,3798
ok,2024-04-05 15:00:00,5.0,5.0,5.0,5.0,14560
ok,2024-04-05 15:30:00,5.08,5.08,5.08,5.08,2000
ok,2024-04-05 16:00:00,5.01,5.01,5.0,5.01,400
ok,2024-04-08 08:00:00,5.0,5.01,5.0,5.0,147799
ok,2024-04-08 08:30:00,5.0,5.03,5.0,5.03,845
ok,2024-04-08 09:00:00,5.03,5.07,5.0,5.0,1400
ok,2024-04-08 09:30:00,5.01,5.01,5.0,5.0,1800
ok,2024-04-08 10:00:00,5.0,5.0,4.95,4.99,1180
ok,2024-04-08 10:30:00,4.99,4.99,4.99,4.99,600
