s,t,o,h,l,c,v
ok,2024-02-14 10:30:00,4.0,4.4,2.5,2.65,243222
ok,2024-02-14 11:00:00,2.75,3.1,2.7,2.93,18038
ok,2024-02-14 11:30:00,2.93,3.2,2.93,3.1,14690
ok,2024-02-14 12:00:00,3.01,3.2,3.0,3.0,4093
ok,2024-02-14 12:30:00,3.02,3.05,2.85,2.85,6214
ok,2024-02-14 13:00:00,3.0,3.24,2.85,3.2,3641
ok,2024-02-14 13:30:00,3.18,3.5,3.09,3.5,16339
ok,2024-02-14 14:00:00,3.4,3.53,3.1,3.15,15548
ok,2024-02-14 14:30:00,3.15,3.15,3.15,3.15,166
ok,2024-02-14 15:00:00,3.3,3.3,2.8,2.8,4254
ok,2024-02-14 15:30:00,2.76,3.25,2.74,3.18,43382
ok,2024-02-14 16:00:00,3.0,3.0,2.9,2.9,320
ok,2024-02-14 19:00:00,2.99,3.0,2.99,3.0,310
ok,2024-02-14 19:30:00,2.99,2.99,2.99,2.99,200
ok,2024-02-15 08:00:00,3.02,3.02,3.02,3.02,3540
ok,2024-02-15 08:30:00,3.02,3.02,3.02,3.02,200
ok,2024-02-15 09:00:00,3.02,3.18,3.02,3.18,1044
ok,2024-02-15 09:30:00,3.38,3.4,3.11,3.33,19063
ok,2024-02-15 10:00:00,3.33,3.43,3.25,3.3,6737
ok,2024-02-15 10:30:00,3.26,3.34,3.2,3.34,4044
ok,2024-02-15 11:00:00,3.38,3.44,3.33,3.44,1301
ok,2024-02-15 11:30:00,3.43,3.47,3.33,3.4,10944
ok,2024-02-15 12:00:00,3.36,3.7,3.35,3.4,27078
ok,2024-02-15 12:30:00,3.44,3.5,3.4,3.45,3730
ok,2024-02-15 13:00:00,3.45,3.49,3.42,3.49,844
ok,2024-02-15 13:30:00,3.42,3.5,3.42,3.5,840
ok,2024-02-15 14:00:00,3.5,3.5,3.5,3.5,400
ok,2024-02-15 14:30:00,3.36,3.43,3.36,3.36,488
ok,2024-02-15 15:00:00,3.39,3.42,3.15,3.15,10090
