s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,1.0,1.0,1.0,1.0,1859
ok,2024-01-02 09:30:00,1.01,1.07,1.01,1.03,5455
ok,2024-01-02 10:00:00,1.03,1.03,1.01,1.01,886
ok,2024-01-02 10:30:00,1.01,1.05,1.01,1.02,3516
ok,2024-01-02 11:30:00,1.02,1.05,1.01,1.01,2323
ok,2024-01-02 12:00:00,1.05,1.05,1.01,1.02,910
ok,2024-01-02 13:00:00,1.02,1.04,1.02,1.04,4762
ok,2024-01-02 13:30:00,1.02,1.04,1.02,1.02,1709
ok,2024-01-02 14:00:00,1.03,1.06,1.02,1.06,793
ok,2024-01-02 14:30:00,1.05,1.05,1.05,1.05,3000
ok,2024-01-02 15:00:00,1.02,1.04,1.01,1.01,1007
ok,2024-01-02 15:30:00,1.02,1.04,1.02,1.04,2474
ok,2024-01-03 08:00:00,1.01,1.01,1.01,1.01,114
ok,2024-01-03 09:30:00,1.01,1.04,1.0,1.03,24483
ok,2024-01-03 10:30:00,1.03,1.03,1.03,1.03,2349
ok,2024-01-03 11:00:00,1.02,1.02,1.02,1.02,384
ok,2024-01-03 11:30:00,1.01,1.03,1.01,1.03,3545
ok,2024-01-03 12:30:00,1.01,1.03,1.01,1.03,2756
ok,2024-01-03 13:00:00,1.03,1.03,1.03,1.03,2301
ok,2024-01-03 14:30:00,1.02,1.02,1.02,1.02,600
ok,2024-01-03 15:00:00,1.02,1.02,1.01,1.01,1522
ok,2024-01-03 15:30:00,1.02,1.05,1.01,1.05,13801
ok,2024-01-04 08:00:00,1.12,1.12,1.12,1.12,1064
ok,2024-01-04 09:00:00,1.04,1.07,1.03,1.07,1669
ok,2024-01-04 09:30:00,1.07,1.08,1.07,1.08,5580
ok,2024-01-04 10:00:00,1.08,1.08,1.08,1.08,1100
ok,2024-01-04 10:30:00,1.08,1.1,1.08,1.08,2016
ok,2024-01-04 11:00:00,1.08,1.09,1.05,1.05,2631
ok,2024-01-04 11:30:00,1.06,1.06,1.04,1.06,22400
ok,2024-01-04 12:00:00,1.06,1.08,1.06,1.08,2200
ok,2024-01-04 12:30:00,1.08,1.08,1.06,1.07,500
ok,2024-01-04 13:00:00,1.06,1.06,1.05,1.05,2000
ok,2024-01-04 13:30:00,1.05,1.05,1.05,1.05,141
ok,2024-01-04 14:00:00,1.05,1.07,1.05,1.07,656
ok,2024-01-04 14:30:00,1.07,1.07,1.07,1.07,241
ok,2024-01-04 15:30:00,1.07,1.07,1.05,1.05,3414
ok,2024-01-04 16:30:00,1.09,1.09,1.09,1.09,1000
ok,2024-01-04 18:00:00,1.06,1.06,1.06,1.06,1700
ok,2024-01-05 09:30:00,1.05,1.05,1.05,1.05,1100
ok,2024-01-05 10:00:00,1.08,1.08,1.08,1.08,109
ok,2024-01-05 10:30:00,1.08,1.08,1.08,1.08,862
ok,2024-01-05 11:00:00,1.06,1.06,1.06,1.06,500
ok,2024-01-05 11:30:00,1.08,1.08,1.08,1.08,1875
ok,2024-01-05 12:00:00,1.08,1.08,1.08,1.08,1000
ok,2024-01-05 12:30:00,1.08,1.08,1.07,1.07,2200
ok,2024-01-05 13:00:00,1.06,1.06,1.06,1.06,124
ok,2024-01-05 13:30:00,1.07,1.07,1.06,1.06,973
ok,2024-01-05 15:00:00,1.06,1.06,1.05,1.05,4446
ok,2024-01-05 15:30:00,1.07,1.08,1.05,1.05,4543
ok,2024-01-05 18:30:00,1.08,1.09,1.08,1.09,615
ok,2024-01-08 04:00:00,1.08,1.08,1.08,1.08,200
ok,2024-01-08 09:30:00,1.08,1.09,1.05,1.09,8293
ok,2024-01-08 10:00:00,1.08,1.08,1.08,1.08,569
ok,2024-01-08 10:30:00,1.08,1.09,1.08,1.08,2673
ok,2024-01-08 11:00:00,1.1,1.1,1.08,1.08,2949
ok,2024-01-08 11:30:00,1.09,1.1,1.09,1.1,4033
ok,2024-01-08 12:00:00,1.1,1.1,1.09,1.09,8242
ok,2024-01-08 12:30:00,1.1,1.1,1.1,1.1,1000
ok,2024-01-08 13:00:00,1.1,1.1,1.09,1.09,1363
ok,2024-01-08 13:30:00,1.1,1.1,1.1,1.1,2618
ok,2024-01-08 14:00:00,1.1,1.1,1.1,1.1,200
ok,2024-01-08 14:30:00,1.1,1.1,1.09,1.09,500
ok,2024-01-08 15:00:00,1.09,1.09,1.09,1.09,3400
ok,2024-01-08 15:30:00,1.09,1.1,1.09,1.1,356
ok,2024-01-09 09:30:00,1.08,1.08,1.07,1.08,17156
ok,2024-01-09 10:00:00,1.08,1.08,1.08,1.08,5267
ok,2024-01-09 10:30:00,1.07,1.07,1.05,1.05,6758
