s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.26,2.26,2.18,2.18,27469
ok,2024-01-02 10:00:00,2.21,2.21,2.12,2.18,9582
ok,2024-01-02 10:30:00,2.16,2.17,2.14,2.16,2791
ok,2024-01-02 11:00:00,2.14,2.18,2.14,2.18,5959
ok,2024-01-02 11:30:00,2.17,2.2,2.17,2.18,5372
ok,2024-01-02 12:00:00,2.18,2.18,2.18,2.18,460
ok,2024-01-02 12:30:00,2.16,2.16,2.15,2.15,2506
ok,2024-01-02 13:00:00,2.14,2.18,2.14,2.18,8187
ok,2024-01-02 13:30:00,2.17,2.17,2.16,2.16,1300
ok,2024-01-02 14:00:00,2.16,2.16,2.14,2.14,394
ok,2024-01-02 14:30:00,2.14,2.19,2.14,2.16,2754
ok,2024-01-02 15:00:00,2.17,2.18,2.13,2.16,1810
ok,2024-01-02 15:30:00,2.16,2.19,2.14,2.14,930
ok,2024-01-03 09:00:00,2.15,2.15,2.15,2.15,1560
ok,2024-01-03 09:30:00,2.16,2.17,2.05,2.12,14426
ok,2024-01-03 10:00:00,2.1,2.1,2.02,2.03,14073
ok,2024-01-03 10:30:00,2.02,2.06,2.0,2.04,10160
ok,2024-01-03 11:00:00,2.04,2.05,2.01,2.05,3445
ok,2024-01-03 11:30:00,2.03,2.04,2.0,2.01,14572
ok,2024-01-03 12:00:00,2.01,2.05,2.01,2.04,2770
ok,2024-01-03 12:30:00,2.04,2.04,2.02,2.02,1054
ok,2024-01-03 13:00:00,2.02,2.05,2.02,2.05,800
ok,2024-01-03 13:30:00,2.03,2.05,2.01,2.03,8267
ok,2024-01-03 14:00:00,2.01,2.01,2.01,2.01,624
ok,2024-01-03 14:30:00,2.03,2.03,2.01,2.01,1093
ok,2024-01-03 15:00:00,2.01,2.02,2.01,2.02,911
ok,2024-01-03 15:30:00,2.02,2.02,1.98,1.98,13281
ok,2024-01-04 06:00:00,2.12,2.12,2.11,2.12,963
ok,2024-01-04 07:00:00,2.15,2.15,2.15,2.15,178
ok,2024-01-04 07:30:00,2.12,2.12,2.12,2.12,959
ok,2024-01-04 08:30:00,2.0,2.0,1.9,1.9,1189
