s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-02 05:00:00,0.17,0.17,0.17,0.17,100
ok,2024-01-02 08:00:00,0.18,0.18,0.18,0.18,748
ok,2024-01-02 08:30:00,0.18,0.18,0.17,0.17,14428
ok,2024-01-02 09:00:00,0.17,0.18,0.17,0.17,6983
ok,2024-01-02 09:30:00,0.17,0.17,0.16,0.17,210285
ok,2024-01-02 10:00:00,0.17,0.17,0.16,0.17,183313
ok,2024-01-02 10:30:00,0.17,0.17,0.16,0.17,31886
ok,2024-01-02 11:00:00,0.17,0.17,0.16,0.16,23797
ok,2024-01-02 11:30:00,0.16,0.17,0.16,0.17,83328
ok,2024-01-02 12:00:00,0.17,0.17,0.16,0.17,16631
ok,2024-01-02 12:30:00,0.17,0.17,0.17,0.17,32596
ok,2024-01-02 13:00:00,0.17,0.17,0.17,0.17,95262
ok,2024-01-02 13:30:00,0.17,0.17,0.17,0.17,15054
ok,2024-01-02 14:00:00,0.17,0.17,0.16,0.17,68512
ok,2024-01-02 14:30:00,0.17,0.17,0.17,0.17,26176
ok,2024-01-02 15:00:00,0.17,0.17,0.17,0.17,25108
ok,2024-01-02 15:30:00,0.17,0.17,0.17,0.17,151120
ok,2024-01-02 16:00:00,0.17,0.17,0.17,0.17,3300
ok,2024-01-02 16:30:00,0.17,0.17,0.17,0.17,3215
ok,2024-01-02 17:00:00,0.17,0.17,0.17,0.17,4042
ok,2024-01-02 17:30:00,0.17,0.17,0.17,0.17,2820
ok,2024-01-02 18:30:00,0.17,0.17,0.17,0.17,200
ok,2024-01-02 19:00:00,0.17,0.17,0.17,0.17,300
ok,2024-01-02 19:30:00,0.17,0.17,0.17,0.17,600
ok,2024-01-03 08:00:00,0.17,0.17,0.17,0.17,19818
ok,2024-01-03 08:30:00,0.17,0.17,0.17,0.17,25190
ok,2024-01-03 09:00:00,0.17,0.17,0.17,0.17,10466
ok,2024-01-03 09:30:00,0.17,0.17,0.16,0.16,167795
ok,2024-01-03 10:00:00,0.16,0.17,0.16,0.16,141131
ok,2024-01-03 10:30:00,0.16,0.17,0.16,0.17,139428
ok,2024-01-03 11:00:00,0.17,0.17,0.16,0.16,44778
ok,2024-01-03 11:30:00,0.16,0.17,0.16,0.16,47514
ok,2024-01-03 12:00:00,0.16,0.16,0.16,0.16,25812
ok,2024-01-03 12:30:00,0.16,0.17,0.16,0.17,185510
ok,2024-01-03 13:00:00,0.16,0.16,0.16,0.16,18162
ok,2024-01-03 13:30:00,0.16,0.16,0.16,0.16,2471
