s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,3.68,3.75,3.61,3.74,3779
ok,2024-01-02 09:00:00,3.61,3.74,3.61,3.74,511
ok,2024-01-02 09:30:00,3.58,3.64,3.35,3.5,20280
ok,2024-01-02 10:00:00,3.45,3.48,3.4,3.48,12924
ok,2024-01-02 10:30:00,3.44,3.49,3.35,3.4,8956
ok,2024-01-02 11:00:00,3.38,3.49,3.36,3.42,8106
ok,2024-01-02 11:30:00,3.43,3.49,3.41,3.49,3224
ok,2024-01-02 12:00:00,3.44,3.48,3.39,3.42,4332
ok,2024-01-02 13:00:00,3.45,3.48,3.41,3.42,4679
ok,2024-01-02 13:30:00,3.44,3.48,3.43,3.45,1283
ok,2024-01-02 14:00:00,3.44,3.47,3.44,3.47,1641
ok,2024-01-02 14:30:00,3.48,3.63,3.48,3.54,13257
ok,2024-01-02 15:00:00,3.55,3.55,3.52,3.52,3495
ok,2024-01-02 15:30:00,3.54,3.59,3.53,3.58,8484
ok,2024-01-02 16:00:00,3.57,3.57,3.57,3.57,500
ok,2024-01-02 17:00:00,3.59,3.59,3.59,3.59,109
ok,2024-01-02 18:00:00,3.59,3.59,3.59,3.59,498
ok,2024-01-02 19:00:00,3.59,3.59,3.59,3.59,1100
ok,2024-01-02 19:30:00,3.59,3.59,3.59,3.59,100
ok,2024-01-03 07:30:00,3.55,3.55,3.42,3.42,1200
ok,2024-01-03 08:00:00,3.74,3.74,3.36,3.53,3445
ok,2024-01-03 08:30:00,3.55,3.55,3.55,3.55,235
ok,2024-01-03 09:00:00,3.55,3.55,3.38,3.54,1402
ok,2024-01-03 09:30:00,3.44,3.5,3.3,3.35,14240
ok,2024-01-03 10:00:00,3.36,3.47,3.3,3.38,8216
ok,2024-01-03 10:30:00,3.33,3.46,3.31,3.33,5413
ok,2024-01-03 11:00:00,3.35,3.4,3.3,3.34,7245
ok,2024-01-03 11:30:00,3.32,3.34,3.31,3.34,3506
ok,2024-01-03 12:00:00,3.31,3.34,3.25,3.25,15751
ok,2024-01-03 12:30:00,3.25,3.27,2.9,3.14,60068
ok,2024-01-03 13:00:00,3.1,3.19,3.09,3.14,1693
ok,2024-01-03 13:30:00,3.17,3.19,3.15,3.16,5925
ok,2024-01-03 14:00:00,3.16,3.19,3.04,3.04,2901
ok,2024-01-03 14:30:00,3.15,3.15,3.09,3.1,904
ok,2024-01-03 15:00:00,3.11,3.11,3.04,3.04,6855
ok,2024-01-03 15:30:00,3.05,3.08,2.99,2.99,25536
ok,2024-01-03 16:00:00,3.16,3.16,3.16,3.16,499
ok,2024-01-03 16:30:00,3.01,3.01,2.99,2.99,500
ok,2024-01-03 17:00:00,3.0,3.1,3.0,3.1,428
ok,2024-01-03 17:30:00,3.1,3.1,3.1,3.1,135
ok,2024-01-03 19:00:00,3.09,3.15,3.09,3.15,200
ok,2024-01-03 19:30:00,3.09,3.15,3.09,3.15,200
ok,2024-01-04 08:30:00,3.1,3.14,3.1,3.14,383
ok,2024-01-04 09:00:00,3.12,3.15,3.11,3.11,1768
ok,2024-01-04 09:30:00,3.05,3.1,2.9,3.1,52570
ok,2024-01-04 10:00:00,3.09,3.1,2.98,3.05,52459
ok,2024-01-04 10:30:00,3.02,3.11,3.02,3.1,4719
ok,2024-01-04 11:00:00,3.1,3.13,3.05,3.1,2624
ok,2024-01-04 11:30:00,3.12,3.12,3.08,3.08,1692
ok,2024-01-04 12:00:00,3.01,3.01,3.01,3.01,649
ok,2024-01-04 12:30:00,3.07,3.13,3.01,3.01,4912
ok,2024-01-04 13:00:00,3.12,3.12,3.0,3.03,4634
ok,2024-01-04 13:30:00,3.02,3.05,3.01,3.05,1542
ok,2024-01-04 14:00:00,3.05,3.05,2.97,2.97,12747
ok,2024-01-04 14:30:00,2.97,3.05,2.97,3.01,1418
ok,2024-01-04 15:00:00,2.97,2.99,2.94,2.94,1937
ok,2024-01-04 15:30:00,2.95,2.95,2.9,2.92,11422
ok,2024-01-04 16:00:00,3.0,3.0,2.99,3.0,600
ok,2024-01-04 16:30:00,2.99,3.0,2.99,3.0,401
ok,2024-01-04 17:30:00,2.93,2.93,2.9,2.9,500
ok,2024-01-04 18:00:00,2.81,2.94,2.81,2.82,2000
ok,2024-01-04 18:30:00,2.99,2.99,2.97,2.97,200
ok,2024-01-04 19:00:00,2.96,2.96,2.85,2.85,484
ok,2024-01-04 19:30:00,2.85,2.96,2.85,2.96,800
ok,2024-01-05 07:00:00,2.91,2.91,2.81,2.81,657
ok,2024-01-05 08:30:00,2.93,2.93,2.93,2.93,100
ok,2024-01-05 09:00:00,2.98,3.04,2.95,2.95,7460
ok,2024-01-05 09:30:00,2.88,2.96,2.6,2.7,28778
ok,2024-01-05 10:00:00,2.72,2.77,2.52,2.55,27610
ok,2024-01-05 10:30:00,2.52,2.6,2.5,2.6,16287
ok,2024-01-05 11:00:00,2.55,2.59,2.39,2.48,71730
ok,2024-01-05 11:30:00,2.47,2.47,2.35,2.35,27260
ok,2024-01-05 12:00:00,2.3,2.38,2.26,2.37,27934
ok,2024-01-05 12:30:00,2.37,2.46,2.3,2.46,8968
ok,2024-01-05 13:00:00,2.45,2.52,2.36,2.51,9698
ok,2024-01-05 13:30:00,2.46,2.52,2.46,2.47,1440
ok,2024-01-05 14:00:00,2.49,2.56,2.37,2.5,13699
ok,2024-01-05 14:30:00,2.48,2.56,2.39,2.39,1447
ok,2024-01-05 15:00:00,2.49,2.49,2.37,2.45,1209
ok,2024-01-05 15:30:00,2.39,2.43,2.32,2.32,15440
ok,2024-01-05 16:00:00,2.41,2.41,2.29,2.29,2080
ok,2024-01-05 17:00:00,2.42,2.49,2.4,2.4,300
ok,2024-01-05 19:00:00,2.26,2.26,2.26,2.26,150
ok,2024-01-05 19:30:00,2.28,2.28,2.28,2.28,100
ok,2024-01-08 07:30:00,2.39,2.39,2.39,2.39,210
ok,2024-01-08 08:30:00,2.31,2.44,2.31,2.44,1252
ok,2024-01-08 09:00:00,2.44,2.44,2.35,2.35,1520
ok,2024-01-08 09:30:00,2.49,2.49,2.33,2.49,15411
ok,2024-01-08 10:00:00,2.43,2.48,2.37,2.37,4527
ok,2024-01-08 10:30:00,2.4,2.54,2.37,2.38,19137
ok,2024-01-08 11:00:00,2.42,2.44,2.42,2.43,973
ok,2024-01-08 11:30:00,2.41,2.41,2.31,2.35,8434
ok,2024-01-08 12:00:00,2.31,2.33,2.3,2.32,2630
ok,2024-01-08 12:30:00,2.31,2.45,2.31,2.38,3677
ok,2024-01-08 13:00:00,2.39,2.39,2.33,2.37,7206
ok,2024-01-08 13:30:00,2.35,2.43,2.35,2.43,4678
ok,2024-01-08 14:00:00,2.43,2.52,2.4,2.5,35166
ok,2024-01-08 14:30:00,2.48,2.48,2.45,2.45,6471
