s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,12.05,12.05,12.05,12.05,1050
ok,2024-01-02 08:00:00,12.04,12.04,12.04,12.04,165
ok,2024-01-02 09:30:00,12.21,12.21,11.42,11.76,46292
ok,2024-01-02 10:00:00,11.76,11.76,11.43,11.43,20238
ok,2024-01-02 10:30:00,11.42,11.53,11.27,11.4,28479
ok,2024-01-02 11:00:00,11.35,11.43,11.3,11.38,18078
ok,2024-01-02 11:30:00,11.36,11.41,11.32,11.4,18008
ok,2024-01-02 12:00:00,11.4,11.6,11.32,11.53,16272
ok,2024-01-02 12:30:00,11.53,11.53,11.44,11.48,7933
ok,2024-01-02 13:00:00,11.48,11.5,11.42,11.46,15839
ok,2024-01-02 13:30:00,11.46,11.46,11.05,11.2,48741
ok,2024-01-02 14:00:00,11.21,11.34,11.13,11.3,16289
ok,2024-01-02 14:30:00,11.29,11.35,11.11,11.22,16442
ok,2024-01-02 15:00:00,11.22,11.32,11.14,11.27,47694
ok,2024-01-02 15:30:00,11.28,11.33,11.2,11.27,48332
ok,2024-01-03 08:00:00,11.25,11.25,11.05,11.1,6100
ok,2024-01-03 09:00:00,11.18,11.18,11.18,11.18,100
ok,2024-01-03 09:30:00,11.15,11.2,10.53,11.06,70479
ok,2024-01-03 10:00:00,11.14,11.25,11.05,11.25,14447
ok,2024-01-03 10:30:00,11.26,11.29,11.07,11.24,12772
ok,2024-01-03 11:00:00,11.24,11.31,11.13,11.24,8051
ok,2024-01-03 11:30:00,11.24,11.57,11.22,11.53,19408
ok,2024-01-03 12:00:00,11.54,11.91,11.54,11.77,36461
ok,2024-01-03 12:30:00,11.83,12.31,11.82,12.31,64990
ok,2024-01-03 13:00:00,12.28,12.37,12.15,12.22,42931
ok,2024-01-03 13:30:00,12.24,12.24,11.95,11.98,13392
ok,2024-01-03 14:00:00,11.95,12.02,11.9,11.97,8585
ok,2024-01-03 14:30:00,11.97,12.17,11.97,12.16,31074
ok,2024-01-03 15:00:00,12.15,12.15,11.74,11.9,24649
ok,2024-01-03 15:30:00,11.84,11.93,11.82,11.88,33835
ok,2024-01-04 08:30:00,12.0,12.0,12.0,12.0,1050
ok,2024-01-04 09:30:00,11.83,12.1,11.72,12.1,35269
ok,2024-01-04 10:00:00,12.08,12.59,12.06,12.45,86149
ok,2024-01-04 10:30:00,12.44,12.82,12.44,12.82,59465
ok,2024-01-04 11:00:00,12.81,12.82,12.5,12.69,54455
ok,2024-01-04 11:30:00,12.73,12.78,12.64,12.65,14873
ok,2024-01-04 12:00:00,12.63,12.8,12.63,12.67,21487
ok,2024-01-04 12:30:00,12.68,12.86,12.45,12.52,46853
ok,2024-01-04 13:00:00,12.58,12.79,12.57,12.79,13769
ok,2024-01-04 13:30:00,12.77,12.89,12.76,12.81,20657
ok,2024-01-04 14:00:00,12.82,12.84,12.59,12.64,23720
ok,2024-01-04 14:30:00,12.62,12.68,12.49,12.58,22952
ok,2024-01-04 15:00:00,12.61,12.72,12.57,12.69,28050
ok,2024-01-04 15:30:00,12.7,12.76,12.63,12.75,66191
ok,2024-01-04 16:00:00,12.88,12.89,12.88,12.89,500
ok,2024-01-04 16:30:00,12.9,12.9,12.8,12.8,300
ok,2024-01-04 18:00:00,12.9,12.9,12.9,12.9,200
ok,2024-01-04 18:30:00,12.9,12.9,12.9,12.9,500
ok,2024-01-05 07:00:00,12.72,12.72,12.72,12.72,100
ok,2024-01-05 08:00:00,12.32,12.9,12.32,12.9,698
ok,2024-01-05 08:30:00,12.9,12.9,12.9,12.9,180
ok,2024-01-05 09:00:00,12.86,12.86,12.73,12.73,1103
ok,2024-01-05 09:30:00,12.7,12.7,12.0,12.2,58462
ok,2024-01-05 10:00:00,12.05,12.26,11.75,11.94,53479
ok,2024-01-05 10:30:00,11.91,12.19,11.86,12.1,33083
ok,2024-01-05 11:00:00,12.16,12.36,12.02,12.31,41039
ok,2024-01-05 11:30:00,12.26,12.47,12.23,12.23,19280
ok,2024-01-05 12:00:00,12.18,12.35,12.18,12.24,7014
ok,2024-01-05 12:30:00,12.36,12.44,12.25,12.25,10387
ok,2024-01-05 13:00:00,12.29,12.36,12.23,12.36,13327
ok,2024-01-05 13:30:00,12.45,12.46,12.3,12.33,18646
ok,2024-01-05 14:00:00,12.41,12.41,12.3,12.37,12056
ok,2024-01-05 14:30:00,12.4,12.46,12.21,12.22,11121
ok,2024-01-05 15:00:00,12.23,12.35,12.22,12.32,13604
ok,2024-01-05 15:30:00,12.33,12.47,12.29,12.47,67497
ok,2024-01-05 16:00:00,12.74,12.74,12.74,12.74,1000
ok,2024-01-08 04:30:00,12.6,12.6,12.6,12.6,290
ok,2024-01-08 07:30:00,12.47,12.47,12.47,12.47,445
ok,2024-01-08 09:00:00,12.47,12.5,12.47,12.5,2991
ok,2024-01-08 09:30:00,12.5,12.5,11.6,11.81,66099
ok,2024-01-08 10:00:00,11.81,11.83,11.67,11.8,41588
ok,2024-01-08 10:30:00,11.79,11.84,11.7,11.74,45716
ok,2024-01-08 11:00:00,11.7,12.24,11.7,12.2,29884
ok,2024-01-08 11:30:00,12.2,12.29,12.14,12.21,12554
ok,2024-01-08 12:00:00,12.23,12.24,12.1,12.11,14270
ok,2024-01-08 12:30:00,12.08,12.12,11.93,11.96,24735
ok,2024-01-08 13:00:00,11.96,12.09,11.96,12.03,9890
ok,2024-01-08 13:30:00,12.04,12.09,11.95,12.05,12502
ok,2024-01-08 14:00:00,12.05,12.09,12.0,12.0,31083
ok,2024-01-08 14:30:00,12.04,12.18,11.9,12.16,18085
ok,2024-01-08 15:00:00,12.19,12.32,12.14,12.26,18731
ok,2024-01-08 15:30:00,12.27,12.27,12.11,12.27,40822
ok,2024-01-08 16:30:00,12.35,12.35,12.35,12.35,250
ok,2024-01-08 17:30:00,12.35,12.35,12.35,12.35,1010
ok,2024-01-09 08:00:00,12.05,12.05,12.05,12.05,507
ok,2024-01-09 08:30:00,12.25,12.25,12.25,12.25,3000
ok,2024-01-09 09:30:00,12.19,12.19,11.81,11.83,14283
ok,2024-01-09 10:00:00,11.88,12.09,11.84,11.96,29645
ok,2024-01-09 10:30:00,11.99,12.04,11.9,11.9,12856
ok,2024-01-09 11:00:00,11.86,12.1,11.84,12.01,8533
ok,2024-01-09 11:30:00,12.11,12.2,11.95,11.98,9900
ok,2024-01-09 12:00:00,12.02,12.08,11.95,12.03,10200
ok,2024-01-09 12:30:00,12.03,12.08,11.91,12.08,27004
ok,2024-01-09 13:00:00,12.06,12.34,12.06,12.19,36536
ok,2024-01-09 13:30:00,12.2,12.2,12.14,12.19,4611
ok,2024-01-09 14:00:00,12.19,12.19,12.09,12.11,5002
ok,2024-01-09 14:30:00,12.08,12.09,11.98,12.04,13632
ok,2024-01-09 15:00:00,12.04,12.13,12.04,12.04,8627
ok,2024-01-09 15:30:00,12.06,12.08,11.99,11.99,15154
ok,2024-01-10 09:00:00,12.0,12.0,11.42,11.42,2087
ok,2024-01-10 09:30:00,11.68,12.03,11.5,11.76,64238
ok,2024-01-10 10:00:00,11.73,11.99,11.73,11.94,14849
ok,2024-01-10 10:30:00,11.94,11.97,11.85,11.88,10811
ok,2024-01-10 11:00:00,11.89,12.01,11.85,12.0,7991
ok,2024-01-10 11:30:00,12.06,12.15,12.03,12.11,7924
ok,2024-01-10 12:00:00,12.15,12.18,11.9,11.98,16326
ok,2024-01-10 12:30:00,12.04,12.34,12.0,12.3,26636
ok,2024-01-10 13:00:00,12.3,12.42,12.3,12.4,23242
ok,2024-01-10 13:30:00,12.37,12.42,12.35,12.38,8399
ok,2024-01-10 14:00:00,12.36,12.57,12.35,12.55,55473
ok,2024-01-10 14:30:00,12.51,12.63,12.5,12.63,18964
ok,2024-01-10 15:00:00,12.59,12.69,12.11,12.19,67580
ok,2024-01-10 15:30:00,12.16,12.17,12.03,12.13,42713
ok,2024-01-10 16:00:00,12.1,12.1,12.1,12.1,353
ok,2024-01-10 16:30:00,11.42,11.42,11.42,11.42,100
ok,2024-01-11 07:00:00,11.45,11.76,11.45,11.45,966
ok,2024-01-11 08:00:00,12.1,12.1,12.1,12.1,100
ok,2024-01-11 09:30:00,12.1,12.3,11.9,12.2,23286
ok,2024-01-11 10:00:00,12.2,12.2,11.73,11.81,14558
ok,2024-01-11 10:30:00,11.87,11.91,11.7,11.77,12523
ok,2024-01-11 11:00:00,11.74,11.79,11.74,11.79,2568
ok,2024-01-11 11:30:00,11.78,11.9,11.78,11.88,4704
