s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,11.11,11.11,10.45,10.45,361
ok,2024-01-02 09:30:00,11.55,11.55,11.55,11.55,1004
ok,2024-01-02 10:00:00,11.42,11.42,11.09,11.1,1686
ok,2024-01-02 10:30:00,11.1,11.24,10.99,11.24,1457
ok,2024-01-02 12:00:00,11.01,11.01,10.76,10.98,920
ok,2024-01-02 14:00:00,10.86,10.86,10.75,10.86,1072
ok,2024-01-02 15:00:00,10.55,10.55,10.55,10.55,107
ok,2024-01-02 15:30:00,10.8,10.8,10.8,10.8,104
ok,2024-01-03 09:30:00,10.6,10.6,10.59,10.59,531
ok,2024-01-03 10:30:00,10.38,10.38,10.38,10.38,109
ok,2024-01-03 11:00:00,10.05,10.05,10.05,10.05,100
ok,2024-01-03 11:30:00,10.05,10.06,9.91,9.91,2222
ok,2024-01-03 12:00:00,9.77,9.8,9.73,9.75,2438
ok,2024-01-03 12:30:00,9.65,9.82,9.65,9.82,1488
ok,2024-01-03 13:30:00,9.72,9.81,9.72,9.81,1451
ok,2024-01-03 14:00:00,9.95,10.04,9.94,10.04,413
ok,2024-01-03 14:30:00,10.04,10.04,10.04,10.04,200
ok,2024-01-03 15:30:00,10.04,10.04,10.04,10.04,107
ok,2024-01-04 08:30:00,10.3,10.3,10.3,10.3,100
ok,2024-01-04 09:30:00,10.35,10.35,10.35,10.35,170
ok,2024-01-04 12:30:00,10.15,10.25,10.15,10.25,1290
ok,2024-01-04 14:30:00,10.23,10.23,10.23,10.23,100
ok,2024-01-04 15:30:00,10.11,10.11,10.11,10.11,319
ok,2024-01-05 09:30:00,10.14,10.14,9.55,9.78,1638
ok,2024-01-05 11:00:00,9.81,10.34,9.8,10.28,3603
ok,2024-01-05 12:00:00,9.82,9.82,9.82,9.82,1000
ok,2024-01-05 12:30:00,9.81,9.81,9.81,9.81,750
ok,2024-01-05 13:00:00,9.81,9.81,9.81,9.81,1000
ok,2024-01-05 15:30:00,10.35,10.43,10.35,10.42,446
ok,2024-01-05 16:00:00,10.0,10.0,10.0,10.0,200
ok,2024-01-08 09:30:00,10.42,10.42,10.15,10.2,753
ok,2024-01-08 10:00:00,10.34,10.34,10.3,10.3,599
ok,2024-01-08 10:30:00,10.05,10.05,10.05,10.05,165
ok,2024-01-08 11:00:00,10.04,10.05,9.99,10.05,1385
ok,2024-01-08 11:30:00,10.41,10.41,9.99,10.15,4333
ok,2024-01-08 12:30:00,10.16,10.16,10.15,10.15,314
ok,2024-01-08 13:00:00,10.16,10.2,10.06,10.06,1636
ok,2024-01-08 13:30:00,10.16,10.18,9.95,9.95,613
ok,2024-01-08 15:30:00,10.28,10.28,10.28,10.28,547
ok,2024-01-08 16:00:00,10.1,10.1,10.1,10.1,965
ok,2024-01-09 09:30:00,10.2,10.58,10.14,10.27,1897
ok,2024-01-09 10:30:00,9.94,9.94,9.94,9.94,165
ok,2024-01-09 11:00:00,10.4,10.4,10.22,10.22,300
ok,2024-01-09 15:30:00,10.07,10.07,10.07,10.07,766
ok,2024-01-10 09:30:00,10.2,10.3,10.0,10.13,1955
ok,2024-01-10 10:00:00,10.0,10.08,10.0,10.08,300
ok,2024-01-10 11:00:00,9.91,9.91,9.91,9.91,801
ok,2024-01-10 12:30:00,9.8,9.8,9.7,9.7,978
ok,2024-01-10 15:00:00,9.71,9.88,9.71,9.88,304
ok,2024-01-10 15:30:00,9.71,9.8,9.66,9.72,1760
ok,2024-01-11 09:30:00,9.92,9.92,9.81,9.82,884
ok,2024-01-11 10:30:00,9.56,9.57,9.41,9.57,1128
ok,2024-01-11 13:00:00,9.55,9.57,9.5,9.5,781
ok,2024-01-11 14:30:00,9.45,9.46,9.31,9.46,734
ok,2024-01-12 10:30:00,9.69,9.69,9.69,9.69,1000
ok,2024-01-12 11:30:00,9.5,9.5,9.5,9.5,642
ok,2024-01-12 12:00:00,9.5,9.5,9.5,9.5,100
ok,2024-01-12 13:00:00,9.5,9.5,9.5,9.5,271
ok,2024-01-12 13:30:00,9.5,9.5,9.2,9.2,602
ok,2024-01-12 14:00:00,9.15,9.15,9.15,9.15,500
ok,2024-01-16 10:30:00,9.09,9.09,9.09,9.09,212
ok,2024-01-16 11:30:00,9.03,9.03,9.03,9.03,192
ok,2024-01-16 12:30:00,9.1,9.22,8.99,8.99,936
ok,2024-01-16 13:00:00,8.88,8.88,8.88,8.88,521
ok,2024-01-16 14:30:00,8.74,8.82,8.74,8.82,1000
ok,2024-01-16 15:00:00,8.65,8.65,8.65,8.65,171
ok,2024-01-16 15:30:00,8.52,8.75,8.52,8.66,13258
ok,2024-01-17 09:30:00,8.66,8.66,8.53,8.53,2868
ok,2024-01-17 12:00:00,8.66,8.66,8.66,8.66,250
ok,2024-01-17 12:30:00,8.67,8.67,8.67,8.67,250
ok,2024-01-17 15:30:00,8.55,8.67,8.55,8.67,500
ok,2024-01-18 09:30:00,8.66,9.06,8.66,8.96,3299
ok,2024-01-18 10:00:00,8.66,8.66,8.66,8.66,2000
ok,2024-01-18 11:00:00,8.76,8.82,8.76,8.82,460
ok,2024-01-18 12:30:00,8.67,8.8,8.52,8.52,3100
ok,2024-01-18 13:30:00,8.85,8.85,8.85,8.85,200
ok,2024-01-18 14:00:00,8.74,8.74,8.51,8.52,2101
ok,2024-01-18 14:30:00,8.73,8.73,8.51,8.67,300
ok,2024-01-18 15:30:00,8.52,8.52,8.52,8.52,2000
ok,2024-01-19 09:30:00,8.6,8.6,8.6,8.6,147
ok,2024-01-19 10:30:00,8.51,8.54,8.5,8.5,9286
ok,2024-01-19 15:30:00,8.39,8.39,8.2,8.39,743
ok,2024-01-22 09:30:00,8.16,8.71,8.05,8.11,3199
ok,2024-01-22 10:00:00,8.21,8.21,8.0,8.12,2789
ok,2024-01-22 11:30:00,7.95,7.95,7.95,7.95,100
ok,2024-01-22 12:00:00,7.92,7.98,7.92,7.92,1500
ok,2024-01-22 12:30:00,7.92,7.92,7.73,7.73,1688
ok,2024-01-22 13:30:00,7.75,7.75,7.75,7.75,358
ok,2024-01-22 14:30:00,7.82,8.9,7.72,8.9,12457
ok,2024-01-22 15:00:00,8.83,8.86,8.7,8.86,2333
ok,2024-01-22 15:30:00,8.98,10.16,8.98,9.64,2915
ok,2024-01-22 16:00:00,9.9,9.95,9.9,9.95,672
ok,2024-01-22 16:30:00,10.51,11.55,10.51,11.0,1040
ok,2024-01-22 17:00:00,10.9,10.9,10.42,10.42,2936
ok,2024-01-22 17:30:00,10.45,10.92,10.45,10.92,947
ok,2024-01-22 18:00:00,10.7,10.82,10.7,10.82,300
ok,2024-01-22 18:30:00,11.37,11.5,11.1,11.5,2659
ok,2024-01-22 19:00:00,11.5,12.3,11.5,12.3,3048
ok,2024-01-22 19:30:00,12.26,13.0,12.0,12.85,7508
ok,2024-01-23 04:00:00,12.0,16.05,11.8,12.34,17209
ok,2024-01-23 04:30:00,12.05,12.05,9.3,9.3,21031
ok,2024-01-23 05:00:00,9.3,9.3,9.15,9.22,1086
ok,2024-01-23 05:30:00,9.21,9.21,9.13,9.13,1111
ok,2024-01-23 06:00:00,9.13,9.13,9.13,9.13,308
ok,2024-01-23 06:30:00,9.13,9.13,9.13,9.13,366
ok,2024-01-23 07:00:00,9.63,11.06,9.63,10.66,5134
ok,2024-01-23 07:30:00,10.83,12.35,10.83,11.1,27310
ok,2024-01-23 08:00:00,12.0,12.05,9.94,11.46,17670
ok,2024-01-23 08:30:00,11.45,11.5,9.71,11.05,15557
ok,2024-01-23 09:00:00,10.5,10.75,10.5,10.5,2048
ok,2024-01-23 09:30:00,10.49,10.8,9.36,9.62,45558
ok,2024-01-23 10:00:00,9.56,9.79,9.44,9.45,4757
ok,2024-01-23 10:30:00,9.2,9.34,9.03,9.19,4833
ok,2024-01-23 11:00:00,9.11,9.5,9.04,9.05,4174
ok,2024-01-23 11:30:00,9.01,9.13,8.73,9.0,3183
ok,2024-01-23 12:00:00,9.02,9.08,8.81,9.08,1182
ok,2024-01-23 12:30:00,8.88,8.88,8.78,8.78,502
ok,2024-01-23 13:00:00,8.76,8.94,8.32,8.45,6672
ok,2024-01-23 13:30:00,8.36,8.91,8.35,8.91,4329
ok,2024-01-23 14:00:00,8.65,8.7,8.57,8.7,1793
ok,2024-01-23 14:30:00,8.87,8.94,8.6,8.88,10155
ok,2024-01-23 15:00:00,8.91,9.45,8.91,9.45,4761
ok,2024-01-23 15:30:00,9.45,9.56,8.97,9.04,5079
ok,2024-01-23 17:00:00,8.91,8.91,8.91,8.91,100
ok,2024-01-23 19:30:00,8.62,8.62,8.57,8.57,650
ok,2024-01-24 04:30:00,8.3,8.3,8.3,8.3,100
ok,2024-01-24 08:00:00,8.87,8.87,8.74,8.82,462
ok,2024-01-24 08:30:00,8.72,8.82,8.72,8.72,1201
ok,2024-01-24 09:00:00,8.99,8.99,8.99,8.99,100
ok,2024-01-24 09:30:00,9.25,9.25,8.84,9.1,1501
ok,2024-01-24 10:00:00,9.0,9.03,9.0,9.03,3276
ok,2024-01-24 10:30:00,9.35,9.35,9.03,9.03,1646
ok,2024-01-24 11:00:00,9.03,9.08,9.03,9.07,1906
ok,2024-01-24 11:30:00,9.0,9.0,8.52,8.74,1541
ok,2024-01-24 12:00:00,8.79,8.79,8.55,8.55,647
ok,2024-01-24 12:30:00,8.95,8.95,8.95,8.95,100
ok,2024-01-24 13:00:00,8.75,8.81,8.6,8.6,3240
ok,2024-01-24 13:30:00,8.55,8.55,8.55,8.55,200
ok,2024-01-24 15:00:00,8.68,8.81,8.67,8.81,502
ok,2024-01-24 15:30:00,8.68,8.68,8.56,8.59,2772
ok,2024-01-24 17:30:00,8.63,8.63,8.63,8.63,100
ok,2024-01-24 19:00:00,8.63,8.63,8.62,8.62,1000
ok,2024-01-25 08:30:00,8.36,8.36,8.36,8.36,207
ok,2024-01-25 09:30:00,8.35,8.35,7.85,7.85,7025
ok,2024-01-25 10:00:00,7.71,7.82,7.48,7.81,6270
ok,2024-01-25 10:30:00,7.82,7.82,7.75,7.79,1276
ok,2024-01-25 11:00:00,7.86,7.87,7.79,7.84,1477
ok,2024-01-25 11:30:00,7.86,7.86,7.86,7.86,400
ok,2024-01-25 12:00:00,7.88,7.88,7.79,7.83,2054
ok,2024-01-25 12:30:00,7.83,7.83,7.83,7.83,300
ok,2024-01-25 13:00:00,7.85,7.85,7.85,7.85,300
ok,2024-01-25 13:30:00,7.89,7.89,7.87,7.87,769
ok,2024-01-25 14:00:00,7.86,8.12,7.86,8.12,2393
ok,2024-01-25 14:30:00,8.2,8.2,8.17,8.17,871
ok,2024-01-25 15:00:00,8.18,8.18,8.18,8.18,417
ok,2024-01-25 15:30:00,7.83,7.93,7.83,7.88,2947
ok,2024-01-26 09:30:00,8.08,8.08,7.76,7.76,1204
ok,2024-01-26 10:00:00,7.8,7.8,7.54,7.54,1802
ok,2024-01-26 10:30:00,7.38,8.5,7.38,8.5,8236
ok,2024-01-26 11:00:00,8.5,8.65,7.92,8.61,3898
ok,2024-01-26 11:30:00,8.67,9.85,8.56,9.69,25072
ok,2024-01-26 12:00:00,9.5,10.0,8.52,9.05,43526
ok,2024-01-26 12:30:00,8.6,9.0,7.54,8.13,17099
ok,2024-01-26 13:00:00,8.13,8.65,8.13,8.65,1576
ok,2024-01-26 13:30:00,8.13,8.13,8.13,8.13,100
ok,2024-01-26 14:00:00,8.13,8.42,8.13,8.26,8692
ok,2024-01-26 14:30:00,8.16,8.41,8.13,8.41,1062
ok,2024-01-26 15:00:00,8.28,8.37,8.12,8.12,1222
ok,2024-01-26 15:30:00,8.11,8.25,7.92,8.25,1446
ok,2024-01-26 16:30:00,8.25,8.25,8.25,8.25,100
ok,2024-01-26 19:00:00,8.25,8.25,8.25,8.25,100
ok,2024-01-29 09:30:00,8.19,8.22,7.97,8.22,1092
ok,2024-01-29 10:00:00,8.37,8.37,8.06,8.32,900
ok,2024-01-29 10:30:00,8.07,8.07,8.07,8.07,180
ok,2024-01-29 11:00:00,7.97,8.1,7.97,8.1,301
ok,2024-01-29 12:00:00,8.07,8.07,8.02,8.02,200
ok,2024-01-29 12:30:00,8.07,8.16,7.97,8.16,1242
ok,2024-01-29 13:00:00,8.04,8.06,7.85,7.87,2589
ok,2024-01-29 13:30:00,7.99,8.0,7.98,8.0,1953
ok,2024-01-29 14:30:00,8.06,8.06,8.06,8.06,602
ok,2024-01-29 15:00:00,8.42,8.42,8.21,8.21,204
ok,2024-01-29 15:30:00,8.26,8.28,8.07,8.17,1463
ok,2024-01-30 10:30:00,8.06,8.06,7.8,7.8,1123
ok,2024-01-30 11:00:00,7.98,8.1,7.98,8.0,11936
ok,2024-01-30 11:30:00,7.94,7.94,7.94,7.94,200
