s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,1.85,1.85,1.85,1.85,282
ok,2024-01-02 09:30:00,1.77,1.96,1.77,1.92,15071
ok,2024-01-02 10:00:00,1.95,1.95,1.89,1.92,3849
ok,2024-01-02 10:30:00,1.95,1.95,1.93,1.93,3612
ok,2024-01-02 11:00:00,1.96,1.99,1.95,1.99,7845
ok,2024-01-02 11:30:00,1.99,1.99,1.94,1.94,7591
ok,2024-01-02 12:00:00,1.93,1.95,1.93,1.94,1300
ok,2024-01-02 12:30:00,1.99,1.99,1.92,1.92,4589
ok,2024-01-02 13:00:00,1.92,1.92,1.83,1.83,1519
ok,2024-01-02 13:30:00,1.86,1.86,1.83,1.83,2128
ok,2024-01-02 14:00:00,1.9,1.94,1.9,1.91,5330
ok,2024-01-02 14:30:00,1.9,1.95,1.9,1.9,2865
ok,2024-01-02 15:00:00,1.9,1.9,1.88,1.88,4554
ok,2024-01-02 15:30:00,1.93,1.93,1.86,1.87,9109
ok,2024-01-02 18:30:00,1.94,1.94,1.94,1.94,499
ok,2024-01-03 08:00:00,1.87,1.87,1.87,1.87,1995
ok,2024-01-03 08:30:00,1.78,1.83,1.78,1.83,800
ok,2024-01-03 09:30:00,1.81,1.82,1.81,1.81,1247
ok,2024-01-03 10:00:00,1.81,1.81,1.81,1.81,727
ok,2024-01-03 10:30:00,1.8,1.8,1.8,1.8,711
ok,2024-01-03 11:00:00,1.82,1.82,1.8,1.8,949
ok,2024-01-03 11:30:00,1.85,1.85,1.85,1.85,2000
ok,2024-01-03 15:00:00,1.79,1.82,1.79,1.81,2345
ok,2024-01-03 15:30:00,1.8,1.83,1.79,1.8,5152
ok,2024-01-04 09:30:00,1.82,1.82,1.8,1.8,648
ok,2024-01-04 10:30:00,1.8,1.8,1.8,1.8,153
ok,2024-01-04 11:00:00,1.79,1.8,1.78,1.8,1160
ok,2024-01-04 11:30:00,1.78,1.78,1.75,1.75,4529
ok,2024-01-04 12:00:00,1.76,1.8,1.74,1.8,9358
ok,2024-01-04 12:30:00,1.8,1.8,1.79,1.79,500
