s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,3.89,3.9,3.89,3.9,2675
ok,2024-01-02 10:00:00,3.84,3.84,3.84,3.84,200
ok,2024-01-02 10:30:00,3.99,3.99,3.99,3.99,200
ok,2024-01-02 11:00:00,3.97,3.98,3.97,3.98,500
ok,2024-01-02 12:30:00,3.84,3.84,3.81,3.81,600
ok,2024-01-02 13:00:00,3.96,3.96,3.96,3.96,200
ok,2024-01-02 13:30:00,3.95,3.95,3.95,3.95,100
ok,2024-01-02 14:30:00,3.82,3.82,3.82,3.82,360
ok,2024-01-02 15:30:00,3.82,3.82,3.82,3.82,684
ok,2024-01-03 09:30:00,3.86,3.9,3.73,3.79,14244
ok,2024-01-03 10:00:00,3.8,3.8,3.7,3.8,1087
ok,2024-01-03 10:30:00,3.71,3.75,3.7,3.75,3465
ok,2024-01-03 11:00:00,3.7,3.8,3.68,3.68,880
ok,2024-01-03 11:30:00,3.67,3.67,3.67,3.67,220
ok,2024-01-03 13:00:00,3.67,3.67,3.67,3.67,706
ok,2024-01-03 15:30:00,3.87,3.87,3.87,3.87,196
ok,2024-01-04 09:30:00,3.81,3.81,3.75,3.81,757
ok,2024-01-04 10:30:00,3.7,3.7,3.65,3.65,2500
ok,2024-01-04 11:00:00,3.67,3.68,3.63,3.63,800
ok,2024-01-04 12:00:00,3.58,3.58,3.58,3.58,384
ok,2024-01-04 14:00:00,3.55,3.55,3.55,3.55,1010
ok,2024-01-04 15:00:00,3.54,3.55,3.41,3.51,1574
ok,2024-01-04 15:30:00,3.47,3.47,3.47,3.47,164
ok,2024-01-05 09:30:00,3.47,3.47,3.4,3.4,827
ok,2024-01-05 12:30:00,3.44,3.57,3.44,3.57,201
ok,2024-01-05 15:30:00,3.43,3.44,3.41,3.42,1332
ok,2024-01-08 09:30:00,3.53,3.65,3.48,3.65,335
ok,2024-01-08 10:30:00,3.59,3.59,3.59,3.59,200
ok,2024-01-08 12:00:00,3.6,3.6,3.6,3.6,757
ok,2024-01-08 12:30:00,3.61,3.72,3.61,3.64,460
ok,2024-01-08 13:30:00,3.62,3.62,3.6,3.6,2517
ok,2024-01-08 14:30:00,3.52,3.52,3.52,3.52,131
ok,2024-01-08 15:30:00,3.75,3.75,3.66,3.75,762
ok,2024-01-09 09:30:00,3.52,3.52,3.52,3.52,266
ok,2024-01-09 10:00:00,3.53,3.53,3.53,3.53,601
ok,2024-01-09 11:00:00,3.54,3.75,3.54,3.75,1818
ok,2024-01-09 11:30:00,3.56,3.56,3.54,3.54,266
ok,2024-01-09 15:00:00,3.58,3.59,3.57,3.57,680
ok,2024-01-09 15:30:00,3.58,3.58,3.58,3.58,164
ok,2024-01-10 09:30:00,3.63,3.63,3.63,3.63,322
ok,2024-01-10 10:00:00,3.52,3.52,3.52,3.52,100
