s,t,o,h,l,c,v
ok,2024-01-11 12:00:00,5.25,5.25,5.25,5.25,102
ok,2024-01-12 11:00:00,5.5,5.5,5.5,5.5,110
ok,2024-01-30 09:30:00,5.45,5.45,5.45,5.45,102
ok,2024-02-12 10:00:00,6.0,6.0,6.0,6.0,100
ok,2024-02-12 10:30:00,6.3,6.3,6.3,6.3,100
ok,2024-02-12 11:30:00,6.9,6.9,6.9,6.9,100
ok,2024-02-12 13:30:00,7.0,7.0,7.0,7.0,201
ok,2024-02-12 14:00:00,7.1,7.2,7.1,7.2,200
ok,2024-02-13 10:00:00,7.5,7.5,7.5,7.5,119
ok,2024-02-13 12:00:00,7.85,7.85,7.85,7.85,100
ok,2024-02-13 13:00:00,8.2,8.2,8.2,8.2,100
ok,2024-02-15 09:30:00,7.74,7.74,7.74,7.74,107
ok,2024-02-15 13:30:00,7.0,7.0,7.0,7.0,300
ok,2024-02-15 14:00:00,7.0,7.0,7.0,7.0,200
ok,2024-02-15 14:30:00,7.0,7.25,7.0,7.25,456
ok,2024-02-20 09:30:00,7.25,7.25,7.25,7.25,845
ok,2024-02-20 15:00:00,7.5,7.5,7.5,7.5,115
ok,2024-02-21 11:30:00,4.0,4.0,2.61,2.8,252334
ok,2024-02-21 12:00:00,2.8,3.8,2.65,3.27,99976
ok,2024-02-21 12:30:00,3.38,4.49,3.3,4.28,90755
ok,2024-02-21 13:00:00,4.12,4.35,3.9,4.0,24437
ok,2024-02-21 13:30:00,4.0,4.0,3.53,3.7,32661
ok,2024-02-21 14:00:00,3.7,3.99,3.52,3.75,2974
ok,2024-02-21 14:30:00,3.53,3.73,3.52,3.6,7242
ok,2024-02-21 15:00:00,3.75,3.88,3.53,3.64,16135
ok,2024-02-21 15:30:00,3.64,3.8,3.0,3.05,32865
ok,2024-02-21 16:00:00,3.45,3.45,3.07,3.17,2111
ok,2024-02-21 16:30:00,3.15,3.47,3.15,3.2,1420
ok,2024-02-21 17:00:00,3.2,3.29,3.2,3.28,407
ok,2024-02-21 17:30:00,3.3,3.4,3.25,3.25,1839
ok,2024-02-21 18:00:00,3.3,3.3,3.3,3.3,228
ok,2024-02-21 18:30:00,3.37,3.38,3.25,3.25,447
ok,2024-02-21 19:00:00,3.26,3.26,3.24,3.26,2234
ok,2024-02-21 19:30:00,3.3,3.3,3.3,3.3,100
ok,2024-02-22 04:00:00,3.16,3.16,3.16,3.16,129
ok,2024-02-22 04:30:00,3.18,3.45,3.18,3.45,770
ok,2024-02-22 05:00:00,3.4,3.4,3.17,3.17,1702
ok,2024-02-22 05:30:00,3.16,3.16,3.16,3.16,962
ok,2024-02-22 06:00:00,3.29,3.29,3.29,3.29,300
ok,2024-02-22 06:30:00,3.1,3.1,3.05,3.05,510
ok,2024-02-22 07:00:00,3.0,3.2,3.0,3.2,653
ok,2024-02-22 07:30:00,3.07,3.07,3.0,3.05,2984
ok,2024-02-22 08:00:00,3.2,3.35,3.05,3.3,6111
ok,2024-02-22 08:30:00,3.33,3.34,3.3,3.33,6292
ok,2024-02-22 09:00:00,3.64,4.48,3.1,3.53,103288
ok,2024-02-22 09:30:00,3.58,4.75,3.41,4.07,170666
ok,2024-02-22 10:00:00,3.67,4.15,3.67,3.87,96424
ok,2024-02-22 10:30:00,3.9,4.0,3.87,3.97,12083
ok,2024-02-22 11:00:00,4.0,4.0,3.6,3.66,32995
ok,2024-02-22 11:30:00,3.72,4.2,3.72,4.12,60060
ok,2024-02-22 12:00:00,4.12,4.2,4.0,4.0,8409
ok,2024-02-22 12:30:00,4.06,4.2,3.98,4.0,20953
ok,2024-02-22 13:00:00,4.0,4.09,3.93,3.97,4660
ok,2024-02-22 13:30:00,4.06,4.07,3.92,4.05,11899
ok,2024-02-22 14:00:00,4.0,4.25,3.97,4.08,51263
ok,2024-02-22 14:30:00,4.08,4.08,3.96,4.0,11962
ok,2024-02-22 15:00:00,4.09,4.09,3.98,4.0,9873
ok,2024-02-22 15:30:00,3.99,4.04,3.9,3.98,16052
ok,2024-02-22 16:00:00,4.2,4.2,4.2,4.2,178
ok,2024-02-22 16:30:00,3.68,3.83,3.68,3.83,1179
ok,2024-02-22 17:00:00,3.83,3.83,3.71,3.71,1240
ok,2024-02-22 18:00:00,4.0,4.0,3.73,3.73,1366
ok,2024-02-22 18:30:00,3.72,3.72,3.72,3.72,196
ok,2024-02-22 19:00:00,3.72,3.73,3.72,3.73,1184
ok,2024-02-22 19:30:00,3.73,3.73,3.7,3.7,1100
ok,2024-02-23 04:30:00,3.52,3.52,3.51,3.51,900
