s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.34,0.34,0.34,0.34,880
ok,2024-01-02 05:00:00,0.33,0.33,0.33,0.33,782
ok,2024-01-02 05:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-02 07:00:00,0.34,0.37,0.33,0.33,19109
ok,2024-01-02 07:30:00,0.33,0.36,0.33,0.34,10246
ok,2024-01-02 08:00:00,0.34,0.37,0.34,0.34,17011
ok,2024-01-02 08:30:00,0.34,0.34,0.34,0.34,57143
ok,2024-01-02 09:00:00,0.34,0.35,0.34,0.34,20707
ok,2024-01-02 09:30:00,0.35,0.36,0.33,0.35,95912
ok,2024-01-02 10:00:00,0.35,0.36,0.35,0.35,44356
ok,2024-01-02 10:30:00,0.35,0.38,0.35,0.37,411580
ok,2024-01-02 11:00:00,0.37,0.37,0.36,0.37,57780
ok,2024-01-02 11:30:00,0.37,0.38,0.37,0.38,41045
ok,2024-01-02 12:00:00,0.38,0.39,0.37,0.37,77918
ok,2024-01-02 12:30:00,0.37,0.38,0.37,0.37,21324
ok,2024-01-02 13:00:00,0.38,0.38,0.37,0.37,13465
ok,2024-01-02 13:30:00,0.37,0.37,0.36,0.36,54766
ok,2024-01-02 14:00:00,0.36,0.38,0.36,0.38,115822
ok,2024-01-02 14:30:00,0.38,0.38,0.37,0.37,39644
ok,2024-01-02 15:00:00,0.38,0.38,0.37,0.38,42621
ok,2024-01-02 15:30:00,0.38,0.38,0.38,0.38,78169
ok,2024-01-02 16:00:00,0.36,0.38,0.36,0.38,14164
ok,2024-01-02 17:00:00,0.38,0.38,0.38,0.38,4511
ok,2024-01-02 17:30:00,0.37,0.38,0.37,0.38,2900
ok,2024-01-02 18:00:00,0.38,0.38,0.38,0.38,800
ok,2024-01-02 19:00:00,0.36,0.36,0.36,0.36,9329
ok,2024-01-02 19:30:00,0.38,0.38,0.38,0.38,900
ok,2024-01-03 04:00:00,0.38,0.38,0.37,0.38,614
ok,2024-01-03 04:30:00,0.38,0.38,0.38,0.38,1186
ok,2024-01-03 06:00:00,0.38,0.4,0.38,0.4,3387
ok,2024-01-03 06:30:00,0.4,0.4,0.37,0.37,17500
ok,2024-01-03 07:00:00,0.37,0.37,0.37,0.37,4612
ok,2024-01-03 07:30:00,0.37,0.38,0.37,0.37,8546
ok,2024-01-03 08:00:00,0.37,0.44,0.37,0.38,10374
ok,2024-01-03 08:30:00,0.36,0.38,0.36,0.38,15083
ok,2024-01-03 09:00:00,0.37,0.38,0.36,0.36,4163
ok,2024-01-03 09:30:00,0.38,0.39,0.37,0.37,40814
ok,2024-01-03 10:00:00,0.37,0.38,0.36,0.36,55166
ok,2024-01-03 10:30:00,0.36,0.37,0.36,0.36,102777
ok,2024-01-03 11:00:00,0.36,0.36,0.35,0.36,35128
ok,2024-01-03 11:30:00,0.36,0.37,0.34,0.35,88239
ok,2024-01-03 12:00:00,0.35,0.35,0.34,0.34,10628
ok,2024-01-03 12:30:00,0.34,0.35,0.34,0.35,4632
ok,2024-01-03 13:00:00,0.35,0.36,0.34,0.34,1339
ok,2024-01-03 13:30:00,0.35,0.35,0.34,0.35,12484
ok,2024-01-03 14:00:00,0.35,0.35,0.34,0.35,7557
ok,2024-01-03 14:30:00,0.34,0.35,0.34,0.34,11404
ok,2024-01-03 15:00:00,0.34,0.35,0.34,0.35,2239
ok,2024-01-03 15:30:00,0.34,0.35,0.34,0.34,8941
ok,2024-01-03 16:00:00,0.34,0.35,0.34,0.35,1797
ok,2024-01-03 17:00:00,0.35,0.35,0.34,0.34,10717
ok,2024-01-03 17:30:00,0.34,0.36,0.34,0.36,2099
ok,2024-01-04 06:30:00,0.35,0.35,0.35,0.35,2000
ok,2024-01-04 07:00:00,0.36,0.37,0.36,0.37,5785
ok,2024-01-04 07:30:00,0.34,0.36,0.34,0.36,2685
ok,2024-01-04 08:00:00,0.35,0.36,0.34,0.36,12937
ok,2024-01-04 08:30:00,0.34,0.34,0.34,0.34,2200
ok,2024-01-04 09:00:00,0.35,0.35,0.35,0.35,611
ok,2024-01-04 09:30:00,0.36,0.36,0.34,0.36,39778
ok,2024-01-04 10:00:00,0.35,0.36,0.34,0.36,28524
ok,2024-01-04 10:30:00,0.36,0.36,0.35,0.36,23385
ok,2024-01-04 11:00:00,0.36,0.37,0.36,0.36,21707
ok,2024-01-04 11:30:00,0.37,0.38,0.36,0.38,28343
ok,2024-01-04 12:00:00,0.37,0.38,0.36,0.38,57294
ok,2024-01-04 12:30:00,0.38,0.39,0.37,0.38,45337
ok,2024-01-04 13:00:00,0.38,0.38,0.37,0.38,32539
ok,2024-01-04 13:30:00,0.38,0.38,0.37,0.38,43527
ok,2024-01-04 14:00:00,0.38,0.39,0.36,0.38,31302
ok,2024-01-04 14:30:00,0.38,0.38,0.37,0.38,12028
ok,2024-01-04 15:00:00,0.37,0.38,0.36,0.38,17615
ok,2024-01-04 15:30:00,0.37,0.38,0.37,0.38,9069
ok,2024-01-04 16:00:00,0.36,0.36,0.36,0.36,1234
ok,2024-01-04 17:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-04 17:30:00,0.38,0.38,0.36,0.36,270
ok,2024-01-04 18:30:00,0.36,0.36,0.36,0.36,1000
ok,2024-01-04 19:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-05 08:00:00,0.37,0.38,0.37,0.38,1965
ok,2024-01-05 08:30:00,0.37,0.38,0.35,0.38,21175
ok,2024-01-05 09:00:00,0.36,0.38,0.36,0.38,1250
ok,2024-01-05 09:30:00,0.37,0.39,0.36,0.39,380483
ok,2024-01-05 10:00:00,0.39,0.42,0.39,0.41,164583
ok,2024-01-05 10:30:00,0.4,0.41,0.4,0.41,93604
ok,2024-01-05 11:00:00,0.4,0.41,0.4,0.41,41956
