s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.85,1.9,1.84,1.88,11038
ok,2024-01-02 10:00:00,1.86,1.89,1.86,1.89,6206
ok,2024-01-02 10:30:00,1.89,1.89,1.82,1.87,9204
ok,2024-01-02 11:00:00,1.89,1.89,1.82,1.83,1993
ok,2024-01-02 11:30:00,1.87,1.88,1.87,1.88,900
ok,2024-01-02 12:00:00,1.87,1.91,1.87,1.89,3514
ok,2024-01-02 12:30:00,1.89,1.89,1.88,1.88,2460
ok,2024-01-02 13:00:00,1.88,1.89,1.82,1.86,1765
ok,2024-01-02 13:30:00,1.87,1.89,1.84,1.84,2502
ok,2024-01-02 14:00:00,1.84,1.86,1.82,1.86,2041
ok,2024-01-02 14:30:00,1.82,1.85,1.82,1.85,300
ok,2024-01-02 15:00:00,1.87,1.88,1.85,1.86,8505
ok,2024-01-02 15:30:00,1.89,1.89,1.82,1.87,1325
ok,2024-01-02 19:00:00,1.86,1.86,1.75,1.75,1900
ok,2024-01-03 08:00:00,1.83,1.83,1.8,1.8,1145
ok,2024-01-03 09:30:00,1.83,1.86,1.75,1.76,7677
ok,2024-01-03 10:00:00,1.75,1.76,1.72,1.76,4441
ok,2024-01-03 10:30:00,1.76,1.76,1.72,1.72,1599
ok,2024-01-03 11:00:00,1.7,1.76,1.7,1.76,11946
ok,2024-01-03 11:30:00,1.73,1.75,1.72,1.75,3458
ok,2024-01-03 13:00:00,1.76,1.8,1.76,1.8,3905
ok,2024-01-03 14:00:00,1.82,1.82,1.82,1.82,1252
ok,2024-01-03 14:30:00,1.83,1.86,1.83,1.85,3638
ok,2024-01-03 15:00:00,1.84,1.84,1.82,1.82,6567
ok,2024-01-03 15:30:00,1.82,1.82,1.74,1.74,4155
ok,2024-01-03 16:30:00,1.9,1.9,1.9,1.9,100
ok,2024-01-03 18:00:00,1.74,1.74,1.74,1.74,100
ok,2024-01-04 05:30:00,1.74,1.74,1.74,1.74,739
ok,2024-01-04 08:00:00,1.81,1.81,1.81,1.81,200
ok,2024-01-04 09:30:00,1.75,1.76,1.75,1.75,780
ok,2024-01-04 10:00:00,1.72,1.75,1.72,1.75,2945
ok,2024-01-04 10:30:00,1.79,1.79,1.79,1.79,1105
ok,2024-01-04 12:00:00,1.77,1.77,1.77,1.77,200
ok,2024-01-04 12:30:00,1.75,1.77,1.75,1.77,758
ok,2024-01-04 13:00:00,1.77,1.77,1.77,1.77,300
ok,2024-01-04 15:00:00,1.8,1.81,1.78,1.81,5442
ok,2024-01-04 15:30:00,1.81,1.82,1.8,1.81,2819
ok,2024-01-05 09:30:00,1.84,1.85,1.8,1.83,8495
ok,2024-01-05 10:00:00,1.82,1.82,1.82,1.82,100
ok,2024-01-05 10:30:00,1.82,1.83,1.74,1.76,4057
ok,2024-01-05 11:30:00,1.77,1.77,1.77,1.77,2103
ok,2024-01-05 12:00:00,1.77,1.77,1.77,1.77,233
ok,2024-01-05 12:30:00,1.77,1.77,1.77,1.77,305
ok,2024-01-05 13:00:00,1.78,1.78,1.78,1.78,2000
ok,2024-01-05 14:00:00,1.77,1.78,1.77,1.78,7022
ok,2024-01-05 15:00:00,1.79,1.79,1.79,1.79,500
ok,2024-01-05 15:30:00,1.84,1.84,1.84,1.84,500
ok,2024-01-05 16:00:00,1.84,1.84,1.84,1.84,100
ok,2024-01-05 18:00:00,1.82,1.82,1.82,1.82,100
ok,2024-01-08 09:30:00,1.89,1.89,1.77,1.8,2079
ok,2024-01-08 10:00:00,1.8,1.8,1.77,1.77,401
ok,2024-01-08 10:30:00,1.8,1.85,1.8,1.82,1978
ok,2024-01-08 11:30:00,1.8,1.83,1.8,1.83,400
ok,2024-01-08 12:00:00,1.86,1.87,1.86,1.86,712
ok,2024-01-08 12:30:00,1.87,1.87,1.84,1.86,1336
ok,2024-01-08 13:00:00,1.86,1.86,1.81,1.81,2539
ok,2024-01-08 13:30:00,1.85,1.88,1.85,1.88,3646
ok,2024-01-08 14:00:00,1.8,1.88,1.8,1.85,1759
ok,2024-01-08 14:30:00,1.85,1.89,1.85,1.89,1711
ok,2024-01-08 15:00:00,1.85,1.88,1.84,1.84,2934
ok,2024-01-08 15:30:00,1.87,1.87,1.84,1.84,2201
