s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.33,0.33,0.32,0.32,1540
ok,2024-01-02 10:00:00,0.33,0.33,0.33,0.33,263
ok,2024-01-02 10:30:00,0.32,0.35,0.32,0.34,21123
ok,2024-01-02 11:00:00,0.35,0.37,0.34,0.37,48743
ok,2024-01-02 11:30:00,0.37,0.37,0.34,0.36,14410
ok,2024-01-02 12:00:00,0.37,0.37,0.35,0.35,6325
ok,2024-01-02 12:30:00,0.36,0.37,0.36,0.36,3332
ok,2024-01-02 13:00:00,0.36,0.37,0.36,0.37,6000
ok,2024-01-02 13:30:00,0.37,0.37,0.37,0.37,12333
ok,2024-01-02 14:00:00,0.37,0.38,0.37,0.37,19567
ok,2024-01-02 14:30:00,0.37,0.37,0.37,0.37,332
ok,2024-01-02 15:00:00,0.37,0.37,0.37,0.37,2539
ok,2024-01-02 15:30:00,0.37,0.37,0.37,0.37,2893
ok,2024-01-02 16:00:00,0.38,0.38,0.38,0.38,3256
ok,2024-01-02 16:30:00,0.38,0.38,0.38,0.38,5250
ok,2024-01-02 18:00:00,0.38,0.38,0.38,0.38,2500
ok,2024-01-03 08:00:00,0.37,0.37,0.37,0.37,1418
ok,2024-01-03 09:00:00,0.37,0.38,0.37,0.38,400
ok,2024-01-03 09:30:00,0.38,0.39,0.35,0.38,11671
ok,2024-01-03 10:00:00,0.38,0.38,0.38,0.38,2699
ok,2024-01-03 10:30:00,0.37,0.37,0.37,0.37,3734
ok,2024-01-03 11:00:00,0.37,0.37,0.35,0.36,11182
ok,2024-01-03 11:30:00,0.38,0.38,0.37,0.37,2595
ok,2024-01-03 12:00:00,0.38,0.38,0.36,0.36,13490
ok,2024-01-03 12:30:00,0.36,0.36,0.36,0.36,1100
ok,2024-01-03 13:00:00,0.35,0.35,0.33,0.34,40400
ok,2024-01-03 13:30:00,0.34,0.35,0.33,0.35,8198
ok,2024-01-03 14:00:00,0.34,0.36,0.34,0.36,28898
ok,2024-01-03 15:00:00,0.36,0.36,0.36,0.36,2512
ok,2024-01-03 15:30:00,0.34,0.36,0.33,0.36,6843
ok,2024-01-03 16:30:00,0.36,0.36,0.36,0.36,10000
ok,2024-01-04 04:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-04 05:30:00,0.4,0.4,0.4,0.4,305
ok,2024-01-04 09:00:00,0.4,0.4,0.34,0.36,2178
ok,2024-01-04 09:30:00,0.34,0.41,0.34,0.4,72637
ok,2024-01-04 10:00:00,0.4,0.4,0.39,0.4,17175
ok,2024-01-04 10:30:00,0.4,0.4,0.39,0.39,13687
ok,2024-01-04 11:00:00,0.39,0.42,0.39,0.4,41012
ok,2024-01-04 11:30:00,0.39,0.41,0.39,0.41,3559
ok,2024-01-04 12:00:00,0.41,0.42,0.41,0.41,9522
ok,2024-01-04 12:30:00,0.41,0.41,0.4,0.4,4330
ok,2024-01-04 13:00:00,0.4,0.4,0.39,0.39,231
ok,2024-01-04 13:30:00,0.39,0.39,0.39,0.39,500
ok,2024-01-04 14:00:00,0.39,0.39,0.39,0.39,2213
ok,2024-01-04 14:30:00,0.39,0.39,0.39,0.39,364
ok,2024-01-04 15:00:00,0.39,0.4,0.39,0.4,11812
ok,2024-01-04 15:30:00,0.4,0.4,0.39,0.4,3903
ok,2024-01-04 16:00:00,0.4,0.4,0.36,0.36,425
ok,2024-01-04 17:00:00,0.41,0.41,0.41,0.41,100
ok,2024-01-04 17:30:00,0.41,0.41,0.41,0.41,1000
ok,2024-01-05 05:30:00,0.4,0.4,0.4,0.4,200
ok,2024-01-05 06:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-05 07:00:00,0.41,0.41,0.41,0.41,100
ok,2024-01-05 07:30:00,0.42,0.42,0.41,0.41,400
ok,2024-01-05 08:00:00,0.42,0.42,0.41,0.41,1411
ok,2024-01-05 09:30:00,0.41,0.42,0.4,0.41,12941
ok,2024-01-05 10:00:00,0.4,0.4,0.39,0.39,2951
ok,2024-01-05 10:30:00,0.39,0.39,0.39,0.39,613
ok,2024-01-05 11:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-05 11:30:00,0.38,0.38,0.36,0.37,9414
ok,2024-01-05 12:00:00,0.37,0.37,0.37,0.37,117
ok,2024-01-05 12:30:00,0.37,0.37,0.36,0.36,2204
ok,2024-01-05 13:00:00,0.36,0.37,0.36,0.37,1000
ok,2024-01-05 13:30:00,0.36,0.36,0.35,0.35,18083
ok,2024-01-05 14:00:00,0.36,0.36,0.36,0.36,6077
ok,2024-01-05 14:30:00,0.37,0.37,0.37,0.37,200
ok,2024-01-05 15:30:00,0.38,0.4,0.36,0.4,18796
ok,2024-01-05 19:30:00,0.35,0.35,0.35,0.35,3000
ok,2024-01-08 06:30:00,0.35,0.35,0.35,0.35,1407
ok,2024-01-08 09:30:00,0.37,0.38,0.35,0.35,8362
ok,2024-01-08 10:00:00,0.37,0.38,0.37,0.37,2721
ok,2024-01-08 10:30:00,0.37,0.37,0.35,0.37,4700
ok,2024-01-08 11:00:00,0.36,0.36,0.36,0.36,600
ok,2024-01-08 12:30:00,0.37,0.37,0.37,0.37,5443
ok,2024-01-08 13:00:00,0.37,0.37,0.37,0.37,948
ok,2024-01-08 13:30:00,0.37,0.37,0.37,0.37,2512
