s,t,o,h,l,c,v
ok,2024-01-25 13:30:00,4.0,4.0,2.92,2.92,568309
ok,2024-01-25 14:00:00,2.81,3.29,2.4,3.03,150764
ok,2024-01-25 14:30:00,3.03,3.09,2.8,2.85,35109
ok,2024-01-25 15:00:00,2.88,3.1,2.81,3.04,40961
ok,2024-01-25 15:30:00,3.0,3.09,2.87,3.09,43147
ok,2024-01-25 16:00:00,2.93,3.05,2.84,2.86,4640
ok,2024-01-25 16:30:00,2.9,2.99,2.86,2.99,3414
ok,2024-01-25 17:00:00,2.87,2.95,2.86,2.95,1401
ok,2024-01-25 17:30:00,2.97,2.97,2.97,2.97,563
ok,2024-01-25 18:00:00,2.97,2.98,2.92,2.98,1845
ok,2024-01-25 18:30:00,2.92,2.92,2.87,2.87,413
ok,2024-01-25 19:30:00,2.87,2.87,2.67,2.7,9282
ok,2024-01-26 04:00:00,2.64,2.64,2.34,2.37,2635
ok,2024-01-26 04:30:00,2.38,2.53,2.38,2.51,2388
ok,2024-01-26 05:00:00,2.5,2.5,2.36,2.36,2136
ok,2024-01-26 05:30:00,2.37,2.37,2.37,2.37,400
ok,2024-01-26 06:00:00,2.41,2.55,2.37,2.55,1913
ok,2024-01-26 07:00:00,2.43,2.5,2.38,2.45,2431
ok,2024-01-26 07:30:00,2.45,2.52,2.45,2.51,2224
ok,2024-01-26 08:00:00,2.46,2.69,2.44,2.65,6013
ok,2024-01-26 08:30:00,2.56,2.63,2.51,2.63,1472
ok,2024-01-26 09:00:00,2.62,2.85,2.56,2.85,3489
ok,2024-01-26 09:30:00,2.96,2.96,2.36,2.45,25404
ok,2024-01-26 10:00:00,2.41,2.82,2.41,2.51,75414
ok,2024-01-26 10:30:00,2.5,2.55,2.31,2.4,35644
ok,2024-01-26 11:00:00,2.37,2.38,1.86,2.05,70047
ok,2024-01-26 11:30:00,2.06,2.16,2.01,2.12,11363
ok,2024-01-26 12:00:00,2.12,2.17,2.05,2.17,12278
ok,2024-01-26 12:30:00,2.15,2.35,2.15,2.18,18577
ok,2024-01-26 13:00:00,2.18,2.32,2.14,2.14,10607
ok,2024-01-26 13:30:00,2.15,2.22,2.14,2.21,8463
ok,2024-01-26 14:00:00,2.17,2.45,2.08,2.35,3354
ok,2024-01-26 14:30:00,2.39,2.4,2.3,2.35,11008
ok,2024-01-26 15:00:00,2.38,2.39,2.23,2.38,14577
ok,2024-01-26 15:30:00,2.38,2.72,2.35,2.72,50655
ok,2024-01-26 16:00:00,2.72,2.72,2.3,2.68,1407
ok,2024-01-26 17:00:00,2.59,2.72,2.59,2.59,2430
ok,2024-01-26 17:30:00,2.49,2.49,2.49,2.49,101
ok,2024-01-26 18:00:00,2.59,2.71,2.59,2.71,1202
ok,2024-01-26 18:30:00,2.6,2.6,2.59,2.59,1490
ok,2024-01-26 19:00:00,2.73,2.73,2.73,2.73,345
ok,2024-01-29 04:30:00,2.6,2.6,2.59,2.59,1508
ok,2024-01-29 05:00:00,2.31,2.31,2.28,2.28,618
ok,2024-01-29 08:00:00,2.34,2.34,2.34,2.34,100
ok,2024-01-29 09:00:00,2.4,2.4,2.34,2.37,3453
ok,2024-01-29 09:30:00,2.47,2.5,2.35,2.47,5966
ok,2024-01-29 10:00:00,2.52,2.52,2.3,2.3,8901
ok,2024-01-29 10:30:00,2.32,2.6,2.3,2.49,25255
ok,2024-01-29 11:00:00,2.54,2.54,2.54,2.54,120
ok,2024-01-29 11:30:00,2.54,2.54,2.49,2.49,1126
ok,2024-01-29 12:00:00,2.62,2.62,2.5,2.5,1720
ok,2024-01-29 12:30:00,2.61,2.68,2.5,2.64,3485
ok,2024-01-29 13:00:00,2.7,2.7,2.7,2.7,1100
ok,2024-01-29 13:30:00,2.6,2.6,2.6,2.6,3126
ok,2024-01-29 14:00:00,2.59,2.76,2.59,2.7,15542
ok,2024-01-29 15:00:00,2.71,2.71,2.56,2.56,961
ok,2024-01-29 15:30:00,2.57,2.61,2.57,2.6,2287
ok,2024-01-29 16:00:00,2.58,2.58,2.58,2.58,100
ok,2024-01-29 16:30:00,2.46,2.57,2.46,2.57,774
ok,2024-01-29 17:00:00,2.42,2.42,2.42,2.42,500
ok,2024-01-30 09:30:00,2.25,2.5,2.25,2.5,8257
ok,2024-01-30 10:00:00,2.42,2.5,2.42,2.49,742
ok,2024-01-30 10:30:00,2.44,2.5,2.38,2.5,11030
ok,2024-01-30 11:00:00,2.5,2.5,2.5,2.5,2450
ok,2024-01-30 11:30:00,2.44,2.55,2.36,2.55,1198
ok,2024-01-30 12:00:00,2.55,2.6,2.36,2.6,2907
ok,2024-01-30 12:30:00,2.37,2.6,2.37,2.59,650
ok,2024-01-30 13:00:00,2.37,2.59,2.37,2.59,1200
ok,2024-01-30 13:30:00,2.59,2.6,2.5,2.6,2350
ok,2024-01-30 14:00:00,2.59,2.65,2.59,2.65,3896
ok,2024-01-30 14:30:00,2.59,2.65,2.59,2.65,1162
ok,2024-01-30 15:00:00,2.65,2.65,2.6,2.6,2900
ok,2024-01-30 15:30:00,2.68,2.7,2.65,2.66,2318
ok,2024-01-30 17:30:00,2.5,2.5,2.4,2.5,3580
ok,2024-01-30 19:30:00,2.56,2.65,2.56,2.6,886
ok,2024-01-31 09:00:00,2.41,2.41,2.41,2.41,697
