s,t,o,h,l,c,v
ok,2024-04-02 09:30:00,4.0,4.0,3.2,3.5,371872
ok,2024-04-02 10:00:00,3.49,3.81,3.0,3.2,140809
ok,2024-04-02 10:30:00,3.11,3.5,3.05,3.31,44033
ok,2024-04-02 11:00:00,3.46,3.5,3.37,3.47,2085
ok,2024-04-02 11:30:00,3.5,3.5,3.35,3.4,9579
ok,2024-04-02 12:00:00,3.48,3.68,3.4,3.6,18569
ok,2024-04-02 12:30:00,3.4,3.9,3.22,3.36,55517
ok,2024-04-02 13:00:00,3.54,3.75,3.4,3.63,4072
ok,2024-04-02 13:30:00,3.46,3.75,3.46,3.74,11910
ok,2024-04-02 14:00:00,3.52,3.74,3.52,3.55,6669
ok,2024-04-02 14:30:00,3.6,3.98,3.38,3.7,69230
ok,2024-04-02 15:00:00,3.31,3.36,3.31,3.36,267
ok,2024-04-02 15:30:00,3.58,3.58,3.58,3.58,113
ok,2024-04-02 16:00:00,3.58,3.68,3.58,3.68,378
ok,2024-04-02 16:30:00,3.43,3.43,3.4,3.43,1125
ok,2024-04-02 17:30:00,3.44,3.44,3.42,3.43,931
ok,2024-04-02 18:30:00,3.45,3.45,3.45,3.45,100
ok,2024-04-03 03:30:00,3.13,3.13,3.08,3.08,205
ok,2024-04-03 07:00:00,3.4,3.4,3.4,3.4,489
ok,2024-04-03 07:30:00,3.41,3.41,3.41,3.41,168
ok,2024-04-03 08:00:00,3.57,3.57,3.57,3.57,100
ok,2024-04-03 08:30:00,3.49,3.6,3.44,3.55,9464
ok,2024-04-03 09:00:00,3.51,3.52,3.3,3.34,11298
ok,2024-04-03 09:30:00,3.34,3.51,3.27,3.31,4033
ok,2024-04-03 10:00:00,3.36,3.48,3.36,3.48,350
ok,2024-04-03 10:30:00,3.36,3.42,3.35,3.37,844
ok,2024-04-03 11:00:00,3.35,3.35,3.3,3.3,1835
ok,2024-04-03 11:30:00,3.32,3.38,3.32,3.38,2745
ok,2024-04-03 12:00:00,3.3,3.5,3.3,3.3,7573
ok,2024-04-03 12:30:00,3.3,3.43,3.2,3.22,9802
ok,2024-04-03 13:00:00,3.2,3.4,3.2,3.21,2201
ok,2024-04-03 13:30:00,3.22,3.26,3.03,3.16,6179
ok,2024-04-03 14:00:00,3.16,3.5,3.0,3.3,20716
ok,2024-04-03 14:30:00,3.3,3.43,3.05,3.39,26520
ok,2024-04-03 15:30:00,3.28,3.28,3.28,3.28,116
ok,2024-04-03 17:00:00,3.38,3.38,3.38,3.38,100
ok,2024-04-04 08:00:00,3.44,3.44,3.44,3.44,100
ok,2024-04-04 08:30:00,3.4,3.82,3.4,3.46,19036
ok,2024-04-04 09:00:00,3.58,3.64,3.57,3.64,1459
ok,2024-04-04 09:30:00,3.62,3.63,3.62,3.63,1242
ok,2024-04-04 10:00:00,3.53,3.53,3.5,3.5,2252
ok,2024-04-04 10:30:00,3.56,3.74,3.5,3.5,8841
ok,2024-04-04 11:00:00,3.51,3.6,3.51,3.55,2300
ok,2024-04-04 12:00:00,3.52,3.62,3.52,3.59,917
ok,2024-04-04 12:30:00,3.62,3.62,3.62,3.62,200
ok,2024-04-04 13:00:00,3.62,3.62,3.62,3.62,100
ok,2024-04-04 13:30:00,3.54,3.62,3.53,3.54,3676
ok,2024-04-04 14:00:00,3.54,3.74,3.54,3.64,11150
ok,2024-04-04 14:30:00,3.7,3.74,3.57,3.57,14064
ok,2024-04-04 15:30:00,3.62,3.62,3.62,3.62,100
ok,2024-04-04 17:30:00,3.55,3.55,3.55,3.55,146
ok,2024-04-05 03:00:00,4.11,4.11,4.11,4.11,180
ok,2024-04-05 03:30:00,4.11,4.11,3.72,3.74,956
ok,2024-04-05 04:30:00,3.95,3.95,3.95,3.95,100
ok,2024-04-05 05:00:00,3.94,3.98,3.94,3.98,528
ok,2024-04-05 06:00:00,3.61,3.61,3.61,3.61,100
