s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.34,0.34,0.34,0.34,200
ok,2024-01-02 10:00:00,0.34,0.34,0.34,0.34,155
ok,2024-01-02 14:00:00,0.34,0.34,0.3,0.3,4006
ok,2024-01-02 15:00:00,0.32,0.32,0.32,0.32,183
ok,2024-01-03 09:30:00,0.32,0.32,0.32,0.32,100
ok,2024-01-03 10:30:00,0.36,0.36,0.36,0.36,100
ok,2024-01-03 11:00:00,0.33,0.33,0.33,0.33,250
ok,2024-01-03 12:00:00,0.36,0.36,0.36,0.36,175
ok,2024-01-03 12:30:00,0.36,0.39,0.36,0.38,5803
ok,2024-01-03 13:00:00,0.38,0.38,0.38,0.38,1354
ok,2024-01-03 13:30:00,0.36,0.36,0.35,0.35,8773
ok,2024-01-03 14:00:00,0.35,0.35,0.35,0.35,1704
ok,2024-01-03 14:30:00,0.35,0.36,0.33,0.36,5401
ok,2024-01-03 15:00:00,0.33,0.33,0.33,0.33,11928
ok,2024-01-03 15:30:00,0.31,0.32,0.31,0.32,3450
ok,2024-01-04 09:30:00,0.3,0.3,0.3,0.3,701
ok,2024-01-04 10:30:00,0.33,0.33,0.33,0.33,3254
ok,2024-01-04 11:00:00,0.34,0.36,0.34,0.35,1301
ok,2024-01-04 14:30:00,0.35,0.35,0.35,0.35,600
ok,2024-01-04 15:00:00,0.33,0.34,0.33,0.34,828
ok,2024-01-04 15:30:00,0.34,0.38,0.34,0.38,10200
ok,2024-01-04 16:00:00,0.4,0.4,0.38,0.38,2600
ok,2024-01-05 07:30:00,0.39,0.39,0.39,0.39,225
ok,2024-01-05 08:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-05 09:00:00,0.38,0.38,0.38,0.38,600
ok,2024-01-05 09:30:00,0.35,0.39,0.35,0.39,15964
ok,2024-01-05 11:00:00,0.38,0.38,0.38,0.38,1856
ok,2024-01-05 12:00:00,0.38,0.38,0.37,0.38,930
ok,2024-01-05 13:30:00,0.35,0.35,0.35,0.35,100
ok,2024-01-05 14:00:00,0.35,0.35,0.35,0.35,1000
ok,2024-01-05 15:00:00,0.35,0.35,0.35,0.35,300
ok,2024-01-05 16:00:00,0.36,0.36,0.36,0.36,100
ok,2024-01-08 08:00:00,0.36,0.36,0.36,0.36,225
ok,2024-01-08 10:30:00,0.38,0.38,0.38,0.38,975
ok,2024-01-08 12:00:00,0.38,0.38,0.38,0.38,100
ok,2024-01-08 12:30:00,0.38,0.38,0.33,0.33,1200
ok,2024-01-08 13:00:00,0.35,0.35,0.35,0.35,300
ok,2024-01-08 14:00:00,0.35,0.35,0.35,0.35,1000
ok,2024-01-08 15:30:00,0.35,0.35,0.35,0.35,324
ok,2024-01-09 10:30:00,0.36,0.36,0.35,0.35,10600
ok,2024-01-09 11:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-09 15:30:00,0.35,0.35,0.35,0.35,476
ok,2024-01-10 09:30:00,0.3,0.36,0.3,0.36,2125
ok,2024-01-10 11:30:00,0.36,0.36,0.36,0.36,183
ok,2024-01-10 12:30:00,0.34,0.4,0.31,0.36,8438
ok,2024-01-10 13:00:00,0.36,0.4,0.36,0.39,3125
ok,2024-01-10 13:30:00,0.39,0.39,0.35,0.35,1220
ok,2024-01-10 14:00:00,0.39,0.39,0.35,0.36,3373
ok,2024-01-10 14:30:00,0.35,0.39,0.35,0.39,3905
ok,2024-01-10 15:00:00,0.39,0.39,0.39,0.39,2000
ok,2024-01-10 15:30:00,0.35,0.35,0.35,0.35,1422
ok,2024-01-11 09:30:00,0.38,0.39,0.38,0.39,300
ok,2024-01-11 10:00:00,0.39,0.4,0.32,0.4,840
ok,2024-01-11 10:30:00,0.4,0.4,0.36,0.36,600
ok,2024-01-11 11:00:00,0.4,0.4,0.36,0.36,600
ok,2024-01-11 11:30:00,0.36,0.36,0.36,0.36,500
ok,2024-01-11 12:00:00,0.36,0.36,0.36,0.36,1988
ok,2024-01-11 13:30:00,0.33,0.33,0.33,0.33,1373
ok,2024-01-11 14:00:00,0.34,0.34,0.34,0.34,2000
ok,2024-01-11 15:00:00,0.37,0.37,0.37,0.37,608
ok,2024-01-11 15:30:00,0.37,0.37,0.35,0.35,644
ok,2024-01-12 08:00:00,0.35,0.35,0.35,0.35,510
ok,2024-01-12 11:00:00,0.32,0.32,0.32,0.32,921
ok,2024-01-12 11:30:00,0.33,0.33,0.33,0.33,100
ok,2024-01-12 12:00:00,0.35,0.37,0.35,0.37,5300
ok,2024-01-12 14:30:00,0.36,0.37,0.34,0.34,11074
ok,2024-01-12 15:00:00,0.33,0.33,0.33,0.33,192
ok,2024-01-12 15:30:00,0.33,0.33,0.32,0.32,712
ok,2024-01-12 16:00:00,0.32,0.32,0.32,0.32,100
ok,2024-01-16 09:30:00,0.32,0.32,0.32,0.32,575
ok,2024-01-16 10:30:00,0.33,0.33,0.33,0.33,101
ok,2024-01-16 11:30:00,0.33,0.33,0.33,0.33,411
ok,2024-01-16 13:00:00,0.33,0.33,0.33,0.33,100
ok,2024-01-16 14:30:00,0.33,0.33,0.33,0.33,110
ok,2024-01-16 15:30:00,0.33,0.33,0.33,0.33,800
ok,2024-01-17 10:00:00,0.32,0.32,0.32,0.32,250
ok,2024-01-17 11:30:00,0.34,0.34,0.34,0.34,309
ok,2024-01-17 15:00:00,0.32,0.38,0.32,0.38,376
ok,2024-01-17 15:30:00,0.34,0.34,0.32,0.32,800
ok,2024-01-18 08:00:00,0.34,0.34,0.34,0.34,121
ok,2024-01-18 09:30:00,0.33,0.33,0.33,0.33,400
