s,t,o,h,l,c,v
ok,2024-03-14 07:00:00,7.58,7.58,7.58,7.58,200
ok,2024-03-14 07:30:00,6.97,7.0,6.5,7.0,1206
ok,2024-03-14 08:00:00,7.01,7.05,7.01,7.01,2350
ok,2024-03-14 08:30:00,8.01,8.07,7.74,7.74,1467
ok,2024-03-14 09:00:00,7.09,7.09,5.46,6.1,5032
ok,2024-03-14 09:30:00,5.86,6.79,5.86,6.79,5435
ok,2024-03-14 10:00:00,6.39,6.8,6.39,6.8,800
ok,2024-03-14 11:00:00,6.27,6.27,6.27,6.27,170
ok,2024-03-14 11:30:00,6.54,6.54,6.5,6.5,936
ok,2024-03-14 12:00:00,6.74,6.74,6.74,6.74,500
ok,2024-03-14 12:30:00,6.87,6.87,6.74,6.74,1101
ok,2024-03-14 13:30:00,6.87,6.94,6.87,6.94,702
ok,2024-03-14 14:00:00,6.5,6.5,6.5,6.5,525
ok,2024-03-14 14:30:00,6.76,6.99,6.5,6.5,1492
ok,2024-03-14 17:30:00,6.66,6.66,6.5,6.66,370
ok,2024-03-15 05:00:00,11.0,22.0,8.91,13.49,129112
ok,2024-03-15 05:30:00,13.5,13.52,10.44,10.55,41821
ok,2024-03-15 06:00:00,10.5,12.25,9.7,10.49,64211
ok,2024-03-15 06:30:00,10.49,10.58,10.0,10.3,10735
ok,2024-03-15 07:00:00,10.13,12.26,9.2,9.77,43149
ok,2024-03-15 07:30:00,9.74,9.93,8.5,9.4,38096
ok,2024-03-15 08:00:00,9.35,9.44,8.42,8.44,30709
ok,2024-03-15 08:30:00,8.47,8.9,6.05,6.24,68175
ok,2024-03-15 09:00:00,6.36,6.61,5.53,5.76,35699
ok,2024-03-15 09:30:00,5.69,6.57,5.69,6.53,15384
ok,2024-03-15 10:00:00,6.42,6.5,6.3,6.3,1863
ok,2024-03-15 10:30:00,6.03,6.53,6.03,6.51,6720
ok,2024-03-15 11:00:00,6.51,6.51,6.12,6.12,7089
ok,2024-03-15 11:30:00,6.3,6.3,5.9,6.2,5161
ok,2024-03-15 12:00:00,6.0,6.0,6.0,6.0,1322
ok,2024-03-15 12:30:00,6.01,6.22,6.01,6.22,1369
ok,2024-03-15 13:00:00,6.01,6.51,6.01,6.26,8561
ok,2024-03-15 13:30:00,6.22,6.23,6.22,6.23,769
ok,2024-03-15 14:00:00,6.4,6.4,6.4,6.4,430
ok,2024-03-15 14:30:00,6.44,6.52,6.08,6.52,10195
ok,2024-03-15 15:00:00,6.6,6.6,6.45,6.6,1622
ok,2024-03-15 16:00:00,6.02,6.02,6.02,6.02,263
ok,2024-03-15 16:30:00,5.85,5.85,5.85,5.85,100
ok,2024-03-18 06:00:00,6.0,6.0,6.0,6.0,100
ok,2024-03-18 07:00:00,6.25,6.56,6.25,6.25,1565
ok,2024-03-18 07:30:00,6.3,6.3,6.3,6.3,113
ok,2024-03-18 08:00:00,6.58,6.61,6.58,6.61,435
ok,2024-03-18 08:30:00,6.11,6.35,6.11,6.31,3737
ok,2024-03-18 09:00:00,6.3,6.38,6.3,6.3,1448
ok,2024-03-18 09:30:00,6.28,6.28,6.28,6.28,421
ok,2024-03-18 10:00:00,6.25,6.25,6.15,6.15,680
ok,2024-03-18 10:30:00,6.14,6.26,6.14,6.26,1722
ok,2024-03-18 11:00:00,6.4,6.4,6.15,6.15,1566
ok,2024-03-18 11:30:00,6.43,6.75,6.36,6.36,3426
ok,2024-03-18 12:00:00,6.49,6.75,6.4,6.42,11740
ok,2024-03-18 12:30:00,6.42,6.42,6.42,6.42,204
ok,2024-03-18 14:00:00,6.5,6.5,6.39,6.39,2616
ok,2024-03-18 14:30:00,6.5,6.5,6.5,6.5,659
ok,2024-03-18 18:00:00,6.14,6.14,6.14,6.14,271
ok,2024-03-19 06:00:00,6.08,6.08,6.08,6.08,250
ok,2024-03-19 06:30:00,6.1,6.1,6.1,6.1,100
ok,2024-03-19 07:00:00,6.14,6.14,6.14,6.14,1242
