s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,0.83,0.83,0.83,0.83,500
ok,2024-01-02 09:30:00,0.87,0.87,0.73,0.76,119858
ok,2024-01-02 10:00:00,0.77,0.78,0.76,0.78,30935
ok,2024-01-02 10:30:00,0.78,0.8,0.77,0.79,36673
ok,2024-01-02 11:00:00,0.79,0.8,0.77,0.8,18547
ok,2024-01-02 11:30:00,0.79,0.8,0.77,0.8,22502
ok,2024-01-02 12:00:00,0.8,0.8,0.77,0.77,2095
ok,2024-01-02 12:30:00,0.8,0.8,0.77,0.8,8226
ok,2024-01-02 13:00:00,0.8,0.8,0.8,0.8,6100
ok,2024-01-02 13:30:00,0.8,0.82,0.79,0.8,32200
ok,2024-01-02 14:00:00,0.8,0.83,0.8,0.83,14789
ok,2024-01-02 14:30:00,0.8,0.83,0.8,0.82,9571
ok,2024-01-02 15:00:00,0.83,0.83,0.8,0.83,6112
ok,2024-01-02 15:30:00,0.83,0.84,0.82,0.83,12200
ok,2024-01-03 09:30:00,0.82,0.82,0.79,0.81,10656
ok,2024-01-03 10:00:00,0.81,0.82,0.78,0.82,26178
ok,2024-01-03 10:30:00,0.82,0.82,0.81,0.81,3177
ok,2024-01-03 11:00:00,0.81,0.81,0.81,0.81,1397
ok,2024-01-03 11:30:00,0.81,0.81,0.76,0.81,19827
ok,2024-01-03 12:00:00,0.8,0.81,0.8,0.81,5956
ok,2024-01-03 12:30:00,0.81,0.82,0.8,0.82,22504
ok,2024-01-03 13:00:00,0.83,0.83,0.82,0.83,1470
ok,2024-01-03 13:30:00,0.83,0.83,0.8,0.83,9430
ok,2024-01-03 14:00:00,0.83,0.83,0.8,0.8,1102
ok,2024-01-03 14:30:00,0.83,0.83,0.8,0.83,8526
ok,2024-01-03 15:00:00,0.82,0.84,0.82,0.84,3409
ok,2024-01-03 15:30:00,0.82,0.84,0.81,0.83,30522
ok,2024-01-04 08:00:00,0.83,1.51,0.83,0.93,2639386
ok,2024-01-04 08:30:00,0.93,0.95,0.88,0.92,310460
ok,2024-01-04 09:00:00,0.92,0.96,0.89,0.92,165873
