s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,231.94,231.94,231.94,231.94,183
ok,2024-01-02 06:00:00,230.0,230.0,230.0,230.0,1361
ok,2024-01-02 09:30:00,234.66,298.5,234.66,250.0,6674
ok,2024-01-02 12:00:00,248.98,248.98,248.98,248.98,160
ok,2024-01-02 14:30:00,245.0,246.52,245.0,246.24,1365
ok,2024-01-02 15:00:00,247.97,249.79,247.97,249.79,747
ok,2024-01-02 15:30:00,249.65,249.87,242.41,242.41,1275
ok,2024-01-03 09:30:00,248.72,263.0,248.72,263.0,996
ok,2024-01-03 10:00:00,276.55,280.0,222.08,222.19,13403
ok,2024-01-03 10:30:00,216.0,216.0,196.91,208.1,1947
ok,2024-01-03 11:00:00,209.95,210.0,209.4,210.0,1566
ok,2024-01-03 11:30:00,205.0,205.0,205.0,205.0,179
ok,2024-01-03 12:00:00,209.91,209.91,209.91,209.91,115
ok,2024-01-03 13:00:00,200.29,200.29,200.29,200.29,185
ok,2024-01-03 13:30:00,198.05,198.05,198.02,198.02,576
ok,2024-01-03 14:30:00,203.33,204.13,203.33,203.99,677
ok,2024-01-03 15:00:00,204.94,204.94,204.94,204.94,160
ok,2024-01-03 15:30:00,198.08,204.94,198.08,201.01,4769
ok,2024-01-03 16:30:00,207.0,207.0,207.0,207.0,100
ok,2024-01-04 09:30:00,193.68,199.0,183.65,187.5,6683
ok,2024-01-04 10:00:00,178.3,178.3,178.3,178.3,671
ok,2024-01-04 10:30:00,191.98,191.98,191.98,191.98,159
ok,2024-01-04 11:00:00,180.0,180.0,175.88,175.88,389
ok,2024-01-04 11:30:00,175.0,176.54,173.0,173.0,1319
ok,2024-01-04 12:00:00,151.5,155.0,151.02,151.02,1371
ok,2024-01-04 12:30:00,146.09,150.0,121.0,123.46,8821
ok,2024-01-04 13:00:00,140.93,143.0,136.04,136.04,1329
ok,2024-01-04 13:30:00,127.0,127.0,121.15,123.24,2487
ok,2024-01-04 14:00:00,122.5,124.41,121.15,123.21,9157
ok,2024-01-04 15:00:00,145.5,145.5,145.5,145.5,219
ok,2024-01-04 15:30:00,136.14,136.14,124.55,124.55,2029
ok,2024-01-04 16:00:00,121.15,121.16,120.0,120.0,2431
ok,2024-01-05 09:30:00,127.12,145.0,127.12,145.0,3308
ok,2024-01-05 10:00:00,130.0,137.23,130.0,132.25,2666
ok,2024-01-05 10:30:00,133.0,135.05,133.0,134.1,989
ok,2024-01-05 11:00:00,130.0,130.0,128.02,128.02,822
ok,2024-01-05 11:30:00,128.51,131.05,126.89,129.03,1078
ok,2024-01-05 12:00:00,126.89,126.89,126.0,126.0,904
ok,2024-01-05 12:30:00,133.0,133.0,129.0,129.0,831
ok,2024-01-05 13:00:00,132.98,132.98,125.0,125.0,1148
ok,2024-01-05 13:30:00,124.1,124.1,124.1,124.1,157
ok,2024-01-05 14:00:00,125.0,125.0,122.0,122.0,422
ok,2024-01-05 14:30:00,126.0,126.0,122.0,122.0,368
ok,2024-01-05 15:00:00,124.5,124.5,124.5,124.5,111
ok,2024-01-05 15:30:00,125.0,125.0,117.24,119.88,2655
ok,2024-01-08 09:30:00,124.03,125.79,106.2,110.0,3626
ok,2024-01-08 10:30:00,110.0,110.0,95.56,95.56,7509
ok,2024-01-08 11:00:00,94.99,114.48,94.48,105.0,3345
ok,2024-01-08 12:00:00,105.51,105.51,95.15,101.5,3531
ok,2024-01-08 12:30:00,99.0,99.0,99.0,99.0,225
ok,2024-01-08 13:00:00,99.01,99.01,94.85,98.76,2338
ok,2024-01-08 13:30:00,95.73,98.0,95.73,98.0,427
ok,2024-01-08 14:00:00,94.0,94.0,94.0,94.0,340
ok,2024-01-08 14:30:00,93.0,95.99,93.0,95.99,671
ok,2024-01-08 15:00:00,94.0,95.98,94.0,94.05,517
ok,2024-01-08 15:30:00,93.01,94.0,90.91,90.91,4927
ok,2024-01-09 09:30:00,97.67,99.97,92.11,96.98,3299
ok,2024-01-09 10:00:00,93.0,96.02,93.0,95.0,2371
ok,2024-01-09 10:30:00,93.0,100.0,90.0,95.66,3953
ok,2024-01-09 11:00:00,94.99,94.99,93.46,93.46,523
ok,2024-01-09 11:30:00,94.99,94.99,94.99,94.99,310
ok,2024-01-09 12:30:00,94.99,94.99,92.0,92.0,404
ok,2024-01-09 13:00:00,92.55,92.55,92.55,92.55,330
ok,2024-01-09 13:30:00,92.0,92.0,80.06,86.2,5026
ok,2024-01-09 15:30:00,92.0,92.0,92.0,92.0,382
ok,2024-01-10 06:00:00,99.99,125.99,99.0,125.99,1446
ok,2024-01-10 06:30:00,121.0,121.0,121.0,121.0,479
ok,2024-01-10 07:00:00,111.99,112.0,111.99,112.0,350
ok,2024-01-10 07:30:00,116.99,116.99,110.0,110.0,1862
ok,2024-01-10 08:00:00,110.0,110.0,110.0,110.0,526
ok,2024-01-10 09:30:00,111.01,111.01,82.52,90.11,10279
ok,2024-01-10 10:00:00,87.0,96.0,83.48,92.41,4418
ok,2024-01-10 10:30:00,90.0,90.02,90.0,90.01,979
ok,2024-01-10 11:30:00,90.04,90.04,85.1,85.1,2929
ok,2024-01-10 12:00:00,85.01,86.55,85.0,86.16,2883
ok,2024-01-10 15:00:00,90.72,90.97,90.49,90.49,1065
ok,2024-01-10 15:30:00,93.78,93.78,88.33,88.33,822
ok,2024-01-10 16:00:00,93.0,93.0,93.0,93.0,190
ok,2024-01-11 09:30:00,87.59,87.59,83.16,85.75,2323
ok,2024-01-11 10:00:00,82.46,82.46,82.43,82.43,406
ok,2024-01-11 10:30:00,80.1,81.12,79.97,81.12,1932
ok,2024-01-11 11:00:00,83.55,84.0,83.55,84.0,399
ok,2024-01-11 11:30:00,81.01,81.01,81.01,81.01,491
ok,2024-01-11 12:00:00,81.99,81.99,78.23,78.23,2073
ok,2024-01-11 12:30:00,75.61,75.61,71.01,72.5,2038
ok,2024-01-11 13:00:00,72.0,72.4,72.0,72.1,1207
ok,2024-01-11 14:00:00,73.77,75.88,73.0,75.78,2622
ok,2024-01-11 14:30:00,75.5,75.5,75.5,75.5,201
ok,2024-01-11 15:00:00,77.87,77.87,77.87,77.87,101
ok,2024-01-11 15:30:00,77.84,78.02,76.65,78.0,1976
ok,2024-01-12 09:30:00,74.51,75.71,70.48,70.67,3969
ok,2024-01-12 10:00:00,69.13,70.0,63.25,67.76,2571
ok,2024-01-12 10:30:00,68.04,75.0,68.04,70.15,3975
ok,2024-01-12 11:30:00,72.75,73.0,72.75,73.0,806
ok,2024-01-12 12:00:00,74.0,75.01,73.62,75.01,1938
ok,2024-01-12 13:30:00,79.0,80.52,78.69,80.52,1524
ok,2024-01-12 14:00:00,81.74,82.8,81.74,81.88,688
ok,2024-01-12 14:30:00,81.57,81.57,81.57,81.57,210
ok,2024-01-12 15:30:00,81.02,81.02,81.02,81.02,497
ok,2024-01-12 17:00:00,83.3,84.89,83.3,84.89,1812
ok,2024-01-12 18:30:00,80.7,80.7,80.7,80.7,126
ok,2024-01-16 09:30:00,83.22,93.0,83.22,92.21,3845
ok,2024-01-16 10:00:00,95.63,101.8,95.63,99.34,3748
ok,2024-01-16 10:30:00,99.34,99.34,95.0,98.96,1277
ok,2024-01-16 11:00:00,96.59,99.0,96.59,99.0,2590
ok,2024-01-16 11:30:00,102.92,115.0,102.92,108.0,8796
ok,2024-01-16 12:00:00,106.4,106.4,106.4,106.4,218
ok,2024-01-16 12:30:00,107.0,109.0,107.0,107.7,3063
ok,2024-01-16 15:00:00,105.05,105.05,103.0,103.01,1408
ok,2024-01-16 15:30:00,107.0,109.97,105.94,109.97,1644
ok,2024-01-17 07:30:00,122.0,122.0,122.0,122.0,439
ok,2024-01-17 09:30:00,112.3,133.7,103.37,103.37,16009
ok,2024-01-17 10:00:00,103.37,103.37,102.0,102.0,3684
ok,2024-01-17 10:30:00,101.2,102.0,93.11,93.11,1875
ok,2024-01-17 11:00:00,91.21,93.96,90.0,90.0,4658
ok,2024-01-17 14:00:00,96.3,97.88,91.0,97.88,1555
ok,2024-01-17 14:30:00,96.0,99.88,96.0,99.88,1281
ok,2024-01-17 15:00:00,99.98,99.98,96.0,96.76,1152
ok,2024-01-17 15:30:00,99.0,99.0,97.74,97.74,2320
ok,2024-01-18 09:30:00,101.01,103.01,101.01,103.01,1642
ok,2024-01-18 10:00:00,99.13,99.98,99.13,99.16,502
ok,2024-01-18 10:30:00,97.0,99.5,96.5,99.5,491
ok,2024-01-18 11:00:00,100.0,100.0,99.98,99.98,379
ok,2024-01-18 15:00:00,108.0,111.0,105.0,105.15,3341
ok,2024-01-18 15:30:00,105.15,105.15,105.15,105.15,838
ok,2024-01-19 09:30:00,100.25,101.65,100.25,101.65,373
ok,2024-01-19 10:00:00,108.98,108.98,108.98,108.98,229
ok,2024-01-19 11:00:00,103.0,103.0,103.0,103.0,651
ok,2024-01-19 11:30:00,103.0,103.0,102.0,102.0,697
ok,2024-01-19 13:30:00,101.38,101.38,101.38,101.38,106
ok,2024-01-19 14:30:00,100.15,100.15,100.15,100.15,106
ok,2024-01-19 15:00:00,102.0,102.0,102.0,102.0,101
ok,2024-01-19 15:30:00,105.0,105.0,105.0,105.0,404
ok,2024-01-22 09:30:00,100.5,100.5,95.0,95.0,1630
ok,2024-01-22 10:00:00,95.5,106.0,95.5,106.0,3176
ok,2024-01-22 11:00:00,102.0,102.0,102.0,102.0,165
ok,2024-01-22 11:30:00,91.8,91.8,91.8,91.8,464
ok,2024-01-22 12:00:00,100.98,100.98,100.98,100.98,157
ok,2024-01-22 13:00:00,101.67,101.67,101.4,101.4,573
ok,2024-01-22 13:30:00,101.03,101.03,101.03,101.03,321
ok,2024-01-22 15:00:00,101.66,101.66,101.64,101.64,213
