s,t,o,h,l,c,v
ok,2024-04-05 03:00:00,3.97,3.99,2.28,2.8,7464
ok,2024-04-05 03:30:00,2.9,3.0,2.5,3.0,3333
ok,2024-04-05 04:00:00,2.96,3.27,2.94,3.27,3822
ok,2024-04-05 04:30:00,3.04,3.11,3.04,3.1,425
ok,2024-04-05 05:00:00,3.13,3.29,3.13,3.29,350
ok,2024-04-05 05:30:00,3.3,3.4,3.2,3.2,750
ok,2024-04-05 06:30:00,3.38,3.38,3.36,3.36,512
ok,2024-04-05 07:00:00,3.4,3.4,3.05,3.05,7262
ok,2024-04-05 07:30:00,3.0,3.59,2.95,3.59,5603
ok,2024-04-05 08:00:00,3.55,3.9,3.55,3.58,15522
ok,2024-04-05 08:30:00,3.58,4.6,3.1,3.96,102764
ok,2024-04-05 09:00:00,3.9,4.04,3.39,3.57,97031
ok,2024-04-05 09:30:00,3.56,3.84,3.56,3.74,12203
ok,2024-04-05 10:00:00,3.7,3.77,3.69,3.74,1495
ok,2024-04-05 10:30:00,3.7,3.75,3.35,3.5,16121
ok,2024-04-05 11:00:00,3.57,3.79,3.53,3.79,10134
ok,2024-04-05 11:30:00,3.76,3.77,3.61,3.69,3649
ok,2024-04-05 12:00:00,3.78,3.78,3.7,3.74,3073
ok,2024-04-05 12:30:00,3.73,4.08,3.73,3.81,13650
ok,2024-04-05 13:00:00,3.89,3.92,3.89,3.89,441
ok,2024-04-05 13:30:00,3.89,4.0,3.85,4.0,8516
ok,2024-04-05 14:00:00,4.0,4.09,3.9,3.91,10138
ok,2024-04-05 14:30:00,3.99,4.37,3.95,4.1,23593
ok,2024-04-05 15:00:00,4.1,4.1,4.1,4.1,262
ok,2024-04-05 15:30:00,3.82,3.82,3.82,3.82,601
ok,2024-04-05 16:30:00,3.86,3.93,3.85,3.85,1639
ok,2024-04-05 17:00:00,3.89,3.89,3.88,3.88,500
ok,2024-04-05 17:30:00,3.85,3.85,3.85,3.85,1875
ok,2024-04-05 18:00:00,3.81,3.82,3.81,3.82,777
ok,2024-04-08 03:00:00,3.7,3.78,3.47,3.5,5936
ok,2024-04-08 03:30:00,3.5,3.5,3.42,3.42,4889
ok,2024-04-08 04:00:00,3.37,3.42,3.32,3.39,2138
ok,2024-04-08 04:30:00,3.37,3.37,3.37,3.37,104
ok,2024-04-08 05:00:00,3.47,3.59,3.45,3.59,7508
ok,2024-04-08 05:30:00,3.52,3.59,3.39,3.51,10415
ok,2024-04-08 06:00:00,3.51,3.66,3.51,3.66,1842
ok,2024-04-08 06:30:00,3.59,3.59,3.5,3.51,2764
ok,2024-04-08 07:00:00,3.39,3.51,3.39,3.45,7229
ok,2024-04-08 07:30:00,3.5,3.5,3.47,3.47,535
ok,2024-04-08 08:00:00,3.51,3.58,3.51,3.57,4021
ok,2024-04-08 08:30:00,3.58,3.86,3.58,3.61,87841
ok,2024-04-08 09:00:00,3.6,3.81,3.6,3.69,15318
ok,2024-04-08 09:30:00,3.69,4.0,3.65,4.0,5905
ok,2024-04-08 10:00:00,3.7,3.78,3.69,3.71,4840
ok,2024-04-08 10:30:00,3.7,3.75,3.68,3.75,11686
ok,2024-04-08 11:00:00,3.77,3.8,3.73,3.8,12137
ok,2024-04-08 11:30:00,3.77,3.84,3.71,3.76,10386
ok,2024-04-08 12:00:00,3.81,3.98,3.7,3.73,27314
ok,2024-04-08 12:30:00,3.86,3.87,3.66,3.67,19519
ok,2024-04-08 13:00:00,3.66,3.67,3.66,3.67,522
ok,2024-04-08 13:30:00,3.78,3.78,3.78,3.78,100
ok,2024-04-08 14:00:00,3.7,3.7,3.66,3.66,6035
ok,2024-04-08 14:30:00,3.66,3.69,3.61,3.64,29030
ok,2024-04-08 15:00:00,3.63,3.64,3.63,3.64,401
ok,2024-04-08 15:30:00,3.57,3.57,3.32,3.32,828
ok,2024-04-08 16:00:00,3.58,3.58,3.58,3.58,193
ok,2024-04-08 16:30:00,3.42,3.42,3.42,3.42,120
ok,2024-04-08 18:00:00,3.55,3.55,3.55,3.55,148
ok,2024-04-08 18:30:00,3.37,3.37,3.37,3.37,190
ok,2024-04-09 03:00:00,3.4,3.4,3.4,3.4,653
ok,2024-04-09 04:00:00,3.49,3.49,3.44,3.44,560
ok,2024-04-09 05:00:00,3.42,3.42,3.42,3.42,484
ok,2024-04-09 06:00:00,3.43,3.49,3.4,3.49,2445
ok,2024-04-09 06:30:00,3.47,3.55,3.47,3.53,9000
ok,2024-04-09 07:00:00,3.41,3.51,3.39,3.41,4065
ok,2024-04-09 07:30:00,3.48,3.48,3.41,3.41,413
ok,2024-04-09 08:30:00,3.43,3.62,3.43,3.56,13391
ok,2024-04-09 09:00:00,3.56,3.59,3.55,3.57,10706
ok,2024-04-09 09:30:00,3.55,3.6,3.55,3.55,24305
ok,2024-04-09 10:00:00,3.55,3.57,3.55,3.56,10564
ok,2024-04-09 10:30:00,3.56,3.57,3.56,3.57,1246
ok,2024-04-09 11:00:00,3.55,3.55,3.5,3.5,16447
ok,2024-04-09 11:30:00,3.5,3.51,3.34,3.36,34785
ok,2024-04-09 12:00:00,3.36,3.38,3.32,3.32,4038
ok,2024-04-09 12:30:00,3.32,3.35,3.31,3.32,13192
ok,2024-04-09 13:00:00,3.31,3.32,3.28,3.29,24886
ok,2024-04-09 13:30:00,3.29,3.32,3.28,3.28,9525
ok,2024-04-09 14:00:00,3.28,3.29,3.05,3.2,23368
ok,2024-04-09 14:30:00,3.2,3.29,2.82,3.29,50508
ok,2024-04-09 17:00:00,3.35,3.35,3.35,3.35,100
ok,2024-04-10 03:00:00,3.39,3.39,3.16,3.17,2055
ok,2024-04-10 04:00:00,3.17,3.17,3.14,3.14,973
ok,2024-04-10 04:30:00,3.14,3.14,3.14,3.14,153
ok,2024-04-10 06:00:00,3.19,3.29,3.03,3.2,11133
ok,2024-04-10 07:00:00,3.1,3.1,3.1,3.1,100
ok,2024-04-10 07:30:00,3.15,3.15,3.15,3.15,3200
ok,2024-04-10 08:30:00,3.09,3.21,3.09,3.11,3157
ok,2024-04-10 09:00:00,3.1,3.51,3.1,3.29,37979
