s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.88,0.88,0.88,0.88,417
ok,2024-01-02 04:30:00,0.89,0.89,0.88,0.88,723
ok,2024-01-02 05:00:00,0.87,0.87,0.87,0.87,950
ok,2024-01-02 05:30:00,0.87,0.87,0.86,0.86,825
ok,2024-01-02 07:00:00,0.87,0.9,0.86,0.9,2490
ok,2024-01-02 08:00:00,0.86,0.92,0.86,0.91,16035
ok,2024-01-02 08:30:00,0.91,0.91,0.91,0.91,500
ok,2024-01-02 09:00:00,0.91,0.92,0.91,0.92,1397
ok,2024-01-02 09:30:00,0.92,0.93,0.89,0.89,30993
ok,2024-01-02 10:00:00,0.9,0.91,0.88,0.88,18138
ok,2024-01-02 10:30:00,0.89,0.89,0.89,0.89,1470
ok,2024-01-02 11:00:00,0.88,0.89,0.86,0.87,31481
ok,2024-01-02 11:30:00,0.86,0.86,0.83,0.85,16170
ok,2024-01-02 12:00:00,0.85,0.87,0.85,0.87,2188
ok,2024-01-02 12:30:00,0.87,0.88,0.86,0.86,10338
ok,2024-01-02 13:00:00,0.85,0.88,0.85,0.86,1806
ok,2024-01-02 13:30:00,0.88,0.88,0.85,0.88,29430
ok,2024-01-02 14:00:00,0.87,0.89,0.85,0.86,34597
ok,2024-01-02 14:30:00,0.86,0.87,0.85,0.87,3062
ok,2024-01-02 15:00:00,0.87,0.88,0.86,0.86,9128
ok,2024-01-02 15:30:00,0.87,0.89,0.87,0.88,7980
ok,2024-01-02 16:00:00,0.87,0.87,0.87,0.87,2914
ok,2024-01-02 16:30:00,0.87,0.87,0.86,0.86,5000
ok,2024-01-02 17:00:00,0.86,0.86,0.86,0.86,100
ok,2024-01-02 17:30:00,0.86,0.86,0.86,0.86,230
ok,2024-01-02 18:30:00,0.89,0.89,0.89,0.89,108
ok,2024-01-02 19:30:00,0.86,0.86,0.86,0.86,128
ok,2024-01-03 04:00:00,0.94,0.94,0.94,0.94,415
ok,2024-01-03 05:00:00,0.88,0.88,0.88,0.88,510
ok,2024-01-03 07:30:00,0.89,0.9,0.89,0.9,344
ok,2024-01-03 08:00:00,0.9,0.94,0.88,0.9,33822
ok,2024-01-03 08:30:00,0.89,0.91,0.89,0.91,9632
ok,2024-01-03 09:00:00,0.9,0.9,0.9,0.9,572
ok,2024-01-03 09:30:00,0.9,0.96,0.88,0.94,95870
ok,2024-01-03 10:00:00,0.94,0.98,0.9,0.95,140694
ok,2024-01-03 10:30:00,0.93,0.93,0.91,0.91,11334
ok,2024-01-03 11:00:00,0.91,0.94,0.91,0.94,3228
ok,2024-01-03 11:30:00,0.94,0.95,0.92,0.93,11897
ok,2024-01-03 12:00:00,0.93,0.93,0.92,0.92,3323
ok,2024-01-03 12:30:00,0.92,0.94,0.91,0.94,16638
ok,2024-01-03 13:00:00,0.93,0.93,0.91,0.91,33189
ok,2024-01-03 13:30:00,0.91,0.92,0.9,0.92,6031
ok,2024-01-03 14:00:00,0.92,0.93,0.92,0.92,6513
ok,2024-01-03 14:30:00,0.92,0.92,0.91,0.92,13168
ok,2024-01-03 15:00:00,0.92,0.92,0.9,0.92,17282
ok,2024-01-03 15:30:00,0.92,0.92,0.9,0.9,25730
ok,2024-01-03 16:00:00,0.93,0.93,0.9,0.93,2925
ok,2024-01-03 16:30:00,0.9,0.94,0.9,0.9,2487
ok,2024-01-03 17:00:00,0.92,0.92,0.92,0.92,5800
ok,2024-01-03 17:30:00,0.9,0.92,0.9,0.92,7141
ok,2024-01-03 18:30:00,0.92,0.92,0.92,0.92,800
ok,2024-01-03 19:00:00,0.92,0.92,0.92,0.92,2254
ok,2024-01-03 19:30:00,0.92,0.92,0.92,0.92,8808
ok,2024-01-04 05:00:00,0.92,0.92,0.92,0.92,249
ok,2024-01-04 05:30:00,0.92,0.92,0.92,0.92,996
ok,2024-01-04 06:00:00,0.92,0.96,0.92,0.96,443
ok,2024-01-04 07:30:00,0.92,0.92,0.92,0.92,858
ok,2024-01-04 08:00:00,0.95,0.95,0.83,0.92,7353
ok,2024-01-04 08:30:00,0.94,0.94,0.9,0.91,6768
ok,2024-01-04 09:00:00,0.91,0.94,0.91,0.94,3755
